stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,91.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.86,0,0,0,10.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.28,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.43,0,0,0,33.67,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,0,1.37,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,2.52,0,0,0,27.33,0,0,0.8,0,0.81,0,0,2.02,21.83,0,0,0.86,0,0
 24-34,0,0,1.41,2.85,0,0,4.37,0,0,0,3.25,0,1.75,0,0,0,0,0,0,2.51,0,0,1.66,170.16,0,18.01,0,0,1.49,1.75,0,0.71,66.93,0,0,0,0,0
 36-46,0,0,0,0,0,0,5.7,6.54,0,0,7.27,0,0,0.81,0,0,0,0,0,1.55,0,0,4.79,473.57,0,19.78,0,0,2.73,0,5.66,0,91.66,0,0,0,0,0
 48-58,0,0,0,6.18,0,0,63.74,0.73,0,1.2,14.44,0,0,0,0,0,0,0,0,41.31,0.5,1.43,1.27,706.36,1.63,14.96,7.82,0,0,0,0,0,114.23,0,0,0,0,5.9
 60-70,0,0,0,3.92,0,0,252.69,0,0.82,1.42,35.17,3.62,0,0.6,0,0,0,0,0,60.03,0,1.84,2.49,1003.63,0,20.04,0,0,4.64,0,0,0,88.84,0,0,1.93,0,0
 72-82,0,0,0,0.58,2.66,0,357.71,2.42,0.5,3.44,51.05,2.26,0,0,0,3.21,0,0,0,66.76,0.74,0,13.12,968.74,0,30.82,1.92,0,1.71,0,3.45,0,104.23,0,1.92,0.98,0.53,2.36
 84-94,0,0,0,5.65,0.84,10.69,273.13,0,0,0.74,28.35,0,0,0,0.69,15.22,0,0,10.18,52.05,0,1.4,2.25,720.6,2.32,22.65,2.51,0,5.66,0,0,0,80.84,0.57,0,6.2,7.03,0
 96-106,0,0,0,1.84,0,0,234.69,0,0,0,25.72,1.35,0,0,0.81,0,3.47,0,0,33.53,0,0,1.34,521.81,0,16.29,0.83,1.2,9.08,0,0,0,30.7,0,0,0.65,1.67,0
108-118,0,1.3,0,9,0,0.95,209.33,0,0,1.28,32.1,0.43,2.95,0.73,0,0,0,1.49,0,35.52,0,3.21,0,753.13,0,12.28,2.29,0,7.72,0.9,0,0,24.68,0,4,1.23,8.95,0
120,0,0,0,12.07,6.75,0,285.09,1.21,2.58,0,70.79,1.17,0,8.21,0,0,0,0,0,46.23,0,17.8,0,1412.58,0,57.05,0,0,1.03,0,0,0,28,0,10.93,17.17,0,0
