stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.38,2.11,12.4,3.26,0,4.41,0,0,2.87,0,0,0,0.9,0,0,0,0,1.47,0,0,4.53,44.75,2.34,1,0,1.86,0,0.97,11.07,4.19,8.82,21.75,0,0,0,0,0
 24-34,0,0,14.17,0,0,7.04,0.8,0,4.42,1.64,0,0,0.64,0,0,0,0,27.72,0,0.81,7.79,186.09,0.63,1.36,0.64,0,0,3.18,0,7.01,1.22,44.38,0,0,0,0,0
 36-46,0,0,2.09,0,0,17.59,0,0,6.13,0,1.84,0,0,0,0.61,0,0,23.69,0,0,3.32,117.34,2.14,0.75,1.86,0,0,2.56,0,0.65,0,32.72,0,0,2.52,0,0
 48-58,0,0,0.38,0,0,19.98,3.76,0.57,11.87,0,0.44,0,0,0.5,0.48,0,0.88,24.2,0,0.43,5.07,116.48,0,1.06,0.42,0,0,0,0,15.2,0,23.91,0,0,4.31,0,0.99
 60-70,0,0,3.12,0,0,20.74,0,0.62,6.94,0,0.93,0,0,0,0,0,1.24,17.28,0,0,0.65,45.17,0,0.99,0,0,0.63,0,0,0.93,0,16.98,0,0,4.37,0,0
 72-82,0,0,1.69,3.32,0,22.94,0,0.59,18.41,0.7,1.6,4.02,0,0,0.63,0,0,30.16,0.71,0,0,63.94,0,0.75,1.35,0,0,1.26,0,0.6,0,4.7,0.5,0.93,0,0,0
 84-94,1.16,0,3.38,0,0,13.23,0,0,9.03,0.96,0,1.25,0,0,6.79,0,0,23.02,0.92,1.4,2.45,47.54,0,3.34,1.19,0,0,0.79,0,3.6,0,0.63,0,0,1.09,0,0
 96-106,0,0,7.22,0,0,5.33,0,0,0.97,1.43,0.68,2.35,0,0.64,1.7,0,0,24.88,0,0,0.83,11.06,0,0.6,2.94,0,0,0,0,0,0,4.04,0,0,1.8,1.28,1.26
108-118,0,0,7.51,0,1.9,43.77,0.96,1.54,11.98,0.92,0,0.43,0,0,1.24,6.77,0.52,19.64,6.28,2.1,0.45,24.05,0.43,0.6,0.89,0,10.16,9.15,0,0,0,6.91,1.14,0,3.93,0.65,0
120,0,0,0,0,0,23.71,0,0,6.57,1.18,3.65,0,0,0,0,0,0,2.27,0,4.59,0,29.35,0,2.86,3.46,0,0,8.58,0,0,0,4.07,0,0,12.44,0,0
