stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,210.64,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.76,652.48,0,3,0,0,0,0,0,16.29,0,0,0,0,0,0.62,4.91,0,0,2.24,38.17,5.35,0,0,0,4.03,0,0,8.49,0,0.85,0,8.78
 36-46,0,0,0,344.73,0,0.87,0,0,0,0.81,0,5.61,0,0,0,0,0,0,1.49,0,0,0.85,15.02,0,0,0.76,0,0,0,3.87,8.49,0,0,0,0
 48-58,0,0,0,683.52,0,18.37,0.81,0,0,14.66,0,3.16,0,0,0,0,0,0,5.24,0,0,0,50.26,0,1.01,0,0,1.44,0,4.17,2.93,0,0.42,0,0
 60-70,0,0,0.99,270.77,0,13.59,2.88,0,0,1.3,2.66,11.28,2.25,0,0,0,0,0,2.21,0,0,0,14.83,0,0,0,0,0,0,5.66,0,0,0,0,0
 72-82,0,0,0.97,407.11,0,7.87,11.97,1.51,0,0.99,0,0.75,0,1.47,4.36,0,0,0,0.71,0,0,0.5,29.23,0,0,0,0,3.31,0,4.28,5.25,0.52,1.49,0,0
 84-94,0,0,1.12,567.97,0,6.04,15.84,0,0,14.7,0,2.28,0.84,1.34,1.92,0,0,0,2.15,0,0,1.98,26.51,0,0,0,0,0.55,0.82,29.84,0,0,1.84,0,0
 96-106,0,0,34.98,1023.4,0,23.63,70.01,10.72,3.48,2.7,1.53,0.66,0,1.87,0,0.58,24.73,0,23.98,0,0,3.68,96.92,0,0,0.79,1.04,4.47,0.71,26.18,0,0,11.86,0,0
108-118,0,3.46,248.52,662.03,1.81,40.4,128.78,31.23,2.2,5.88,3.91,1.95,3.13,1.05,0,0,1.66,1.99,18.38,1.07,1.28,18.72,85.87,1.55,0,1.93,1.53,3.78,6.41,52.51,0.54,0,6.95,1.3,5.54
120,0,7.45,236.18,800.07,0,17.73,42.07,35.65,0,0,2.84,3.7,4.02,7.13,1.25,0,0,0,2.06,1.12,0,5.61,38.99,0,0,0,0,2.12,0,24.66,0,0,0,0,0
