stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,0,71.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,82.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.53,0,15.87,0,0,0,0,0,0,0,0,31.81,10.23,0,14.49,0,0,0,0
 10-12,0,0,0,0,11.44,0,0,0,0,0,0,0,0,40.18,0,0,27.77,0,3.87,0,0
 14-21,0,0,0,0.82,0.81,0,0,0,0,0,2.64,0,0,5.17,0,0,0,0,0,2.8,0
 24-34,0,0,0,0,5.8,4.46,0,0,0,0,2.88,0,0,28.26,0,0,0,0,0,5.6,1.41
 36-46,0,0,0,1.35,5.43,0,0,0,0,0,1.61,0,0,23.55,0,0,0,0,0,4.31,0
 48-58,0,0,0,0,9.17,5.16,1.54,0,0,2.25,1.55,0,1.08,49.23,3.21,0,0,0,0,1.45,0
 60-70,0,0,0,0,24.54,0,0,0,1.22,0,0,0,0.6,38.7,0,0,0,2.45,0,17.53,0.75
 72-82,0,0,0,0.78,11.57,0,0.64,0.93,0,0,3.43,0,0,6.96,0,0,0,0,0,1.29,0
 84-94,0,0,0,1.65,0,0,0,0,0,0,0.84,2.25,0.75,4.27,0,0,0,1.1,0,0,0
 96-106,0,0,0,0,1.89,0,0,0,0,0,0.83,0,0.61,7.05,0,4.01,0,0,0,0,0
108-118,0,0,0,0.71,1.07,0,0.54,0,0,0,0,0,0,11.94,0,0,0,0.73,0,0,0
120,0,0,0,0,1.07,8.7,3.32,0,0,0,2.46,2.61,0,47.74,1.66,0,0,0,0,0,0
