stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord
  3-4,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0
 10-12,0,10.52,0,0,10.38,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0.9,0,0,0.84
 24-34,0,0,0,0,0.74,0,0,0,0,0,0,0,11.45,0,0,0,0,0.65,0
 36-46,0,0,0,0.67,0,4.85,0,1.75,0,0,0,0,17.52,0.6,0,0,0,0,4.13
 48-58,0,0,5.05,0,2.05,0,0.4,0,0,0,3.26,0,8.59,0,0,0,4.59,2.49,2.3
 60-70,0,0,0,0,11.69,0,0,1.19,0,0,10.05,0,11.09,0,0,0,0,0,0
 72-82,0,0,0,0,0.88,0,0,0,0,0,0.82,0,9.84,0,0,0,0,0,2.01
 84-94,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0
 96-106,0,0,0,0,0.88,0,0,0,0,0,2.76,0,3.99,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.56,1.14,0,3.74,0,0,0,0,0,0
120,0,0,0,1.11,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0
