stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.96,1.06,0,0,0,0,0,0,2.05,0,0,13.96,0,0,0,0.94,4.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.14,0,0,28.05,0,0,1.26,0,5.07,0.76,0,0
 36-46,0,0,0,3.48,0,0,0,0,1.55,0,0,24.29,0,0,0,0,4.27,0,0,0
 48-58,0,0,0,7.59,0.62,0,0,0,2.01,0,0,9.72,0,0,0,0,2.01,0,0,0
 60-70,1.05,0,0,10.43,0,0.85,0.92,9.12,0.85,0,2.76,11.03,0,0,0,0,0.8,0,0,0
 72-82,0,0,0,2.34,1.66,13.51,0,0,1.26,6.35,0,7.36,0,0,0,0,2.14,0,0,2.01
 84-94,0,0,0,15.18,0,36.25,0,0,2.09,1.94,0,13.46,0.6,0.92,0.75,0,0,0,0,0
 96-106,2.82,0,0,20.21,0,71.12,0.99,0,2.98,3.23,0,36.9,0,0,0,0,0,0,0,0
108-118,0,0,0.45,14.49,2.1,112.39,0.65,1.04,1.81,0,1.95,31.81,0,0,6.09,0,0,1.46,1.55,0
120,0,0,0,34.27,0,152.31,2.88,12.36,0,0,0,83.87,0,0,0,0,0,0,0,0
