stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,37.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.54,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,0,0,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.71,2.98,3.6,0,0,0,0,0,1.35,0,0,0,0,0,0,3.95,0,0,3.09,62.07,0,0.98,0,1.02,0,0,5.73,0,0,4.6,21.94,0,0,0,0,0
 24-34,0,0,0,0,4.23,0,14.34,0,1.37,0.71,0,0.66,0,0,0,3.55,0,1.2,0,8.53,0.93,0,2.99,237.21,1.14,7.55,1.77,0,0,1.64,0,1.08,0,1.62,48.32,0,0,0,0,2.37
 36-46,0,0,0,0,9.36,0.64,29.92,0,0,1,1.66,0,0,0,3.31,0,0,0,1.07,16.52,0,0,2.72,354,0,6.71,4.35,0,0,1.23,0,0,0,0,42.93,0,0,0.69,0,0
 48-58,0,0,0,0,16.33,2.49,74.73,0,0,0,19.1,0.69,0,0,0.39,0,3.16,0.51,0,30.04,0,3.72,5.06,515.66,1.28,1.03,1.09,0,0,8.01,0,0.43,0,0,63.82,0,0,1.4,0,0
 60-70,2.52,0,0,0,1.6,0.57,116.27,0,10.29,2.52,16.47,0,0,1.36,15.15,0,0.78,0,0,9.16,0,4.68,0.68,611.19,0,0,6.34,0,0,5.78,0,0,0,0,63.44,0,0,1.63,0.64,0
 72-82,0,0,3.35,0,15.55,0,152.84,0,0.71,1.18,27.86,0.81,0,0,0.83,0,0,1.95,0,67.9,2.08,0.77,1.88,585.11,0,1.44,2.21,0,1.78,2.82,0,1.58,3.03,0,60.98,0.87,0,3.81,0,2.08
 84-94,0,0,2.22,0,11.92,0,103.23,8.84,0,3.17,32.67,8.45,0,0,0.71,2.76,0,0,0,44.05,2.88,3.41,4.9,235.38,0,0.9,0,0,0,19.94,0,0,0,0,40.08,1.17,14.73,0.8,1.72,0
 96-106,0,0,0,0,8.74,2.74,96.64,4.47,0.88,0.75,12.43,3.32,0,0.87,2.12,2.84,0.72,2.22,0,45.38,1.09,0,6.52,304.28,0,0,4.07,0,4.53,5.63,0,0,0,0,13.65,0,1.94,0.96,0.91,0
108-118,0,0,0,0,16.32,0.92,125.07,0,4,2.76,23.15,2.69,0,1.61,2.98,4.56,3.02,0,0.88,91.69,0,0,3.5,366.16,0,1.89,5.96,0,0,20.47,0,0,0,0,16.77,1.97,0,5.9,4.33,0
120,0,0,1.37,0,18.19,7.14,155.32,0,4.85,21.47,83.13,0,0,0,18.39,0,11.68,5.84,18.25,101.63,0,0,8.15,390.71,16.67,0,9.75,0,0,9.04,0,0,0,0,49.79,1.27,0,0,0,0
