stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,140.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.08,186.46,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.05,0,0,0,45.72,0,0,0,0,0,0
 10-12,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,65.2,0,0,0,28,0,0,5.84,0,0,0
 14-21,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,0,2.42,1.13,0,2.7,0,0
 24-34,0,0,0,1.38,4.18,0,0,0,0,0,0,0,0,0,8.89,0,1.68,78.29,0,0,0,0,0,0,1.45,6.91,4.47,0
 36-46,0,0,0,2.4,7.5,0,0,4.54,0,0,0,0,0,0,1.47,0,0,63.94,0.57,0,0,0,4.58,0,0,13.55,0.8,0
 48-58,0,0,0,0,9.41,0,0,5.41,0,0,2.29,3.7,0.51,0,5.72,0,0.38,100.48,0.9,0.47,0.77,0,0,0,0,7.76,0.71,0
 60-70,0,0,0,0.58,47.72,1.85,4.04,2.64,2,0,0,0,0,3.59,3.98,0.69,1.1,67.54,0,0,0.83,0,3.1,0,0.76,19.95,0.79,0
 72-82,0,0,0,0,25.08,0,0,7.96,0.57,1.93,0,0,0,0,4.89,0,0,33.61,0,0.58,2.09,0,1.67,0,0,5.22,1.07,0
 84-94,0,0,0,0,8.66,0,0,1.11,0,0,0,0,0,0,1.81,0,0,20.06,0,0,0,0,0.64,0,0,3.96,0,1.13
 96-106,0,0,0,0,16.7,0,0,13.65,0,0,0,0,0,0,3.24,0,0,25.15,0,0,0,0,1.71,0,0,0,0,0
108-118,0,0,0,1.17,14.13,0.66,0,2.35,0,0,0,0,0,0,7.15,0,1.36,37.7,0,0,0,0,0,0,0,0,0.65,0
120,0,0,0,0,6.53,1.41,0,10.41,0,0,0,0,0,3.97,30.47,1.26,1.93,186.1,0,0,4.67,0,4.22,0,0,0,0,0
