stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,360.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.24,333.86,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38,0,0,0,0,0,0,0
  7-9,24.31,34.28,0,13.33,0,0,166.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918.54,29.01,0,0,185.21,0,0,0,0,0,0,0,0
 10-12,0,60.65,0,48.05,0,0,161.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512.16,37.25,0,0,252.83,0,0,4.61,6.06,0,0,0,0
 14-21,0,0,0,0,20.44,2.89,10.5,0,0,35.79,1.08,0,0,0,5.67,0,0,0,0.8,11.6,0,0,0,206.53,2,3.56,17.12,9.8,0,0,11.61,21.33,4.23,185.02,0,0.98
 24-34,0,0,0,0,6.01,0.91,26.18,0,0.78,35.19,0,0,0,0,8.39,0,0.73,0,19.24,14.3,0,0,5.93,211.89,0,10.72,7.29,0,0,0,0,5.37,1.38,97.76,3.29,0
 36-46,0,0,0,0,1.98,0,28.85,0,0,53.13,1.58,0,0,0,1.46,4.11,1.54,2.29,1.31,8.6,1.07,0,1.94,159.38,0,25.95,2.07,0,1.83,0.81,0,5.74,0,66.88,0,0
 48-58,0,0,0,0,0.39,0,38.87,0.56,0.4,16.91,0,0,0,0,0,2.77,1.51,0,0.48,9.89,0,0,0.38,58.88,0,18.36,1.43,0,0,0,0,0.9,0,45.27,0,0
 60-70,0,0,0,0,6.12,0,60.02,0,0,29.7,0,0.97,0,0,0,4.21,6.85,0,0,6.89,1.01,8.24,0,64.22,0,17.3,12.84,0,0,0,0,0.64,0,18.59,0,0
 72-82,0,0,1.04,0,0.55,0,28.14,0,1,10.15,1.04,1.17,0.58,0,1.38,0,0,0,0,4.48,1.48,0,0,34.37,0,22.88,4.56,0,0,0,0,0.57,0,10.59,0,0
 84-94,0,0,1.23,1.01,3.77,0,29.95,0,0,15.82,0,0,0,1.25,3.17,0.87,3.8,0,0.91,4.43,0.59,1.44,0,24.83,0,13.27,14.3,0,1.45,0,0,0.67,0,4.02,0,0
 96-106,0,0,1.11,0,0.56,0,22.96,0,0,29.66,0,0,0,0,0.95,0.6,4.33,0,0,6.77,0,0,1.37,15.68,0,21.85,8.58,0,0,0,0,0,0,13.21,0,0
108-118,0,0,0,0,1.33,0,41.95,0.56,0.64,21.67,0,0,0,0,0.43,0.52,4.14,0,0,2.2,0,0,1.02,17.77,0,17.93,5.54,0,0,0,0,1.68,0,8.25,0,0
120,0,0,0,0,0,0,20.32,0,0,35.08,8.19,0,0,0,0,0,5.54,0,0,2.86,0,0,1.9,12.61,0,17.3,36.48,0,0,0,0,0,0,5.69,0,0
