stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,25.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,129.02,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.35,0.84,0,0,0,0,0,0,0,0,0,0,1.41,0,5.6,7.19,3.42,0,0,0,0,4.51,1.71,18.32,0,0,0,0,0
 24-34,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,11.15,0,4.94,8.03,0.83,0,0,0,0,0,0,0,1.98,0,1.93,0,0
 36-46,0,0,0,0,0,1.94,0,0.99,0,0,3.31,0,0,0,9.78,0.89,4.16,1.79,0,0,0,0,0,0,0,0,0.83,0,0,0,0
 48-58,0,0,0,0,0,2.4,0,0,0,0,0,0,0.4,0,8.29,0.43,2.57,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0
 60-70,0,0,0,0,0,0.75,0,1.9,1.28,0,0,0,0,0,33.14,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,4.84,0,0,0,1.49,0,1.18,2,0,0,0,2.99,0,83.37,0.91,0.51,9.78,0,0.54,0,0,0,0,0,0,0,1.56,1.11,0,0
 84-94,0,12.03,0,0,0,2,0,1.29,0.93,0,2.65,0,1.47,0,30.74,0,0,0.82,0,0,0,7.18,0,0,0,0,0,0,0,2.31,2.12
 96-106,0,6.64,0,0.81,2.85,9.9,0.64,0,68.87,1.61,0,0,2.22,2.5,61.53,0,0.71,10.61,0,0,0,2.4,0,0,0,0,0,0,2.27,6.22,0
108-118,0,14.14,0,0,0,0.46,0,0.47,249.6,0,0,0,2.63,2.73,75.62,0,0,8.74,0,0,0,0,0.52,0,0,0,0,0,2.2,0,0
120,0,4.32,0,0,4.81,11.25,0,0,281.97,0,0,1.45,5.72,22.69,49.05,0,0,10.7,0,0,0,0,0,0,0,0,0,0,2.93,0,0
