stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.45,105.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.88,156.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.06,5.63,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7,17.39,0,0,44.91,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,38.53,0.83,0,2.11,0,0,0,2.16,5.65,0,0,0,0,0,0,0,10.33,0,0,7.51,84.39,1.98,1.23,0,2.38,1.01,0,10.78,3.86,1.11,10.19,49,0,0,0,0,0
 24-34,0,0,0.8,2.2,26.66,0,0,15.85,0,0,0,0,0,1.92,0,1.95,0.85,0.63,0.74,22.87,34.09,0,0,22.92,255.91,1.94,1.36,3.62,0,8.69,0,0,2.83,0,1.5,61.79,0,0,1.52,0,13.34
 36-46,0,0,0,0.63,2.85,0,0,17.21,0,0,0.84,6.85,0,1.9,0,0.57,0.86,0,0,1.3,12.14,0,2.18,6.59,152.19,0,2.86,0.6,0,3.41,0,0,0,1.32,0,60.23,0,0,1.59,0,0
 48-58,0,0,0,0,10,0,0,68.88,0.67,1.36,2.57,18.69,0,0,0,0.39,0,2.03,0,0.7,34.44,0,1.95,7.57,273.25,0,5.79,1.57,0,8.6,0,0,0.74,0,0,98.23,0,0.37,4.15,0,2.4
 60-70,0,0,0,0,3.23,0,0,333.54,4.25,3.13,0,37.96,4.68,1.7,0,0,9.62,2.41,3.3,0,56.06,0.84,2.08,5.39,648.45,0.68,0.84,1.63,0,15.58,0,0,0,0,0,100,0,1.98,2,0,0
 72-82,0,0,0,0,2.17,0,0,73.59,0,0,0,0.9,0,0,0.53,1.45,0,2.42,0,0,20.13,0,9.3,5.78,163.53,0,3.73,6.03,0,4.24,0,0,0.57,0,0,14.86,0.97,1.01,9.12,2.85,0
 84-94,0,0,0,0,5.11,1.26,0,129.77,1.38,0,3.81,14.15,2.19,0,0,0.64,0.55,2.11,1.38,0,39.95,1.53,2.56,3.24,190.37,0.76,0,2.83,0,15.4,0,0,0,0,0,15.13,0.71,0,3.99,0.88,10.49
 96-106,0,0,0,0,16.02,4.56,0,76.81,0.71,0,0,17.05,0,0,0,1.46,0,5.93,0,0,20.05,0.69,1.09,2.33,205.53,2.25,1.28,1.35,0,14.19,0,0,0,0,0,27.54,2.01,0,1.58,5.25,0
108-118,0,0,0,0,11.49,1.35,1.35,74.4,0,1.03,0,20.68,2.8,0.43,2.33,0.98,4.83,1.34,2.42,1.85,27.21,0,1.74,6.52,228.52,1.58,2.03,5.93,0,10.09,0,0,1.91,0,0,3.75,0,2.41,9.94,0,2.17
120,0,0,0,0,10.07,5.2,0,86.11,1.01,3.17,0,10.41,1.53,0,2.47,0,11.1,0,0,1.51,17.1,0,2.61,0,206.17,0,0,0,0,4.93,0,0,2.61,1.21,0,6.5,2.32,0,0,1.99,0
