stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.15,0,1.13,0,0
 24-34,0,0,0,1.61,0,0,0,0,0,0,0.6,0,0,4.56,0,0,2.03,0
 36-46,0,0,0,9.72,0,0,0,0,0,0,0,0,0,7.1,0,0,1.75,0
 48-58,0,0,0,0.97,0,0,0,0,0,0,0.93,0,0,12.39,0,0,1.14,0
 60-70,0,0,0.7,0.57,0,0,2.61,0,0,0,0,0,2.29,8.62,0,0,0.7,0
 72-82,0,0,0,2.57,7.89,0,5.07,0,0,0,0,0,0,23.74,0,0,0,0
 84-94,0,0,0,5.77,0,0,0,0,0,0,0,0.86,0,4.88,0,0,3.33,0
 96-106,0,0,0,1.19,5.48,0,0,0,0.71,0,0,0,0,21.77,0,0,0,2.22
108-118,0,0,0,2.87,3.4,0,0,1,0,0.65,0,0,0,8.15,0,0,0,0
120,0,0,0,0,19.38,5.18,0,0,0,0,0,0,0,50.38,0,0,0,2.19
