stage,endoderm,epidermis,fin_epithelia,glial,iridophores,mesenchyme,neural,periderm,somites,spinal_cord,vasculature
  7-9,4.01,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.86,4.27,0,0,1.21,0
 24-34,0,0,0,0,0,1.98,5.78,0,0.67,2.19,1.19
 36-46,0,2.63,0,0,0,1.63,0,0,0,0,0
 60-70,0,0.89,0,0.91,0,0,2.34,0,0,0,0
 72-82,0,0,0,1.44,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.72,0,0.57,0,0,0
 96-106,0,1.45,0,0.73,0,0,2.06,2.52,0,0,0
108-118,0,0,0,0,1.25,0,3.03,0.61,0,0,0
120,0,0,2.08,0,0,0,0,1.19,0,0,0
