stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,52.37,909.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.59,0,0,0,0,0,0
  5-6,18.13,639.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.16,0,0,0,8.27,0,0,0,0,0,0,0
  7-9,0,15.68,0,22.02,0,0,8.38,0,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0,288.04,5.07,0,0,76.21,0,0,0,0,0,0,0
 10-12,0,0,0,36.99,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.22,5.7,0,0,28.81,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,24.45,1.72,3.88,0,0,0,3.35,0,0,0,0,0,0,0,9.56,0,0,5.73,99.74,3.15,1.04,4.97,0.81,6.4,9.03,0.86,13.17,30.03,5.52,0
 24-34,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,3.84,32.63,1.27,0.65,0.67,0,3.14,0,0.85,0.66,4.78,4.17,0
 36-46,0,0,0,0,2.86,0,2.76,1.88,0,0,0.97,0,0,0,0,0,0,0,3.92,1.26,0,0.6,8.14,3.22,0,0.63,0,7.55,0,0,0,0.73,0.77,0
 48-58,0,0,0,0,7.35,0,3.35,0,3.94,0.68,0.88,0.38,0.7,0,0,3.66,0,0,4.35,0.52,0,2.99,31.54,0,0,0,0,22.57,0,0,0,7.58,1.56,0
 60-70,0,0,0,0,4.93,0,7.76,0,2.13,0,3.68,0,0,0,0,0,0,0,6.1,0,0,0.83,32.88,0,1.12,0,0,5.73,0,2.06,0,0,2.02,0
 72-82,0,0,0.83,0,0.84,0,8.57,0,0,0,1.21,0.82,0,0.58,0.52,0,0.81,0,8.03,3.44,0,1.21,18.5,0.77,1.42,0,0,6.16,0,0,0,1.62,2.18,8.18
 84-94,0,0,0,0,0.59,0,2.62,0,0.55,0,1.44,0,0,0,0.62,0,0,0.68,12.4,0,0,0,20.27,0,1.87,0.67,0,8.78,0,0,0,0,5.03,0
 96-106,0,0,0,0,1.69,6.3,14.8,0,0,0,1.65,0,0,0,0.68,3.08,0,0,7.8,0,0,0.7,33.15,0,3.5,0,0,14.6,0,1.91,0,1.39,0.79,0
108-118,0,0,0,0,1.42,0,6.81,0,0,0,3.8,0,0,0,2.85,0,0,0,12.12,0,0.92,1.5,12.13,0,0,0.62,0,10.44,0,0,0,0,3.42,5.76
120,0,0,0,0,2.62,0,3.19,0,1.28,0,0,0,0,0,0,1.29,2.12,0,9.17,0,0,0,23.91,5.18,12.21,0,0,14.79,0,0,0,7.97,0,0
