stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,178.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0,0,0
  5-6,50.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.25,0,0,0,3.75,3.89,0,0,0,0,0,0,0
 10-12,45.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5,0,0,0,42.66,46.24,6.77,0,0,0,0,0,0
 14-21,0,0,0,0,4.94,0,0,0,0,0,0,1.89,0,1.9,0,0,0,0,0.86,1.16,0,1.26,6.84,0,0,0,0,333.54,0,1.81,0,0,5.57,0,0
 24-34,0,0,0,8.32,2.44,0,1.93,0.99,0,0,0.77,0,0.6,0,0,0,0,0,7.07,1.99,0,1.51,47.67,0,2.97,0,0,871.11,0,12.67,0,0,25.92,0,5.49
 36-46,0,0,0,9.48,0,0,0.56,8.06,0.57,2.43,0,0.68,0,2.24,0,0,0,0,8.13,12.28,0,4.92,32.29,0,0.98,0,0,1442.45,0,4.5,0,0,13.85,0,2.49
 48-58,0,0,0,14.49,0,0,25.47,35.84,0.64,4.08,3.5,0,0,0.37,0,0.78,0,0,21.37,8.64,0,6.1,73.2,0,3.15,0,0,2168.92,0,12.42,0,0,17.89,0,4.26
 60-70,0,0,0,19.1,0,0,35.66,41.25,0,1.16,0,0,1.55,0,0,0,0,0,10.74,2.32,4.33,1.94,47.64,0,4.43,0,0,2036.57,0,16.51,0.61,0.94,14.28,0.73,3.04
 72-82,0,0,0,17.84,0,0,41.52,40.81,4.1,3.03,0,0,3.55,6.79,0,0,0,0,34.23,5.22,1.17,2.84,40.57,0,26.22,6.47,0,1366.44,0,10.96,0.59,1.59,21.46,1.27,0
 84-94,0,1.16,1,31.52,0.86,0,14.25,85.03,0,0,2.4,0,0,16.86,0,0,0,0.96,13.17,8.44,3.08,1.56,53.93,0,46.27,0,0,3238.88,0,1.73,3.97,4.11,23.03,8.48,0
 96-106,0,0,0,77.13,4.77,0.92,42.7,62.44,0,11.92,2.28,0,5.42,22.71,1.2,0.62,2.34,0,22.44,14.24,16.33,3.67,73.51,4.18,81.38,0,0,2374.69,0.9,0,3.4,0,21.94,6.04,0
108-118,0,0,0,44.58,2.78,0.72,12.26,83.28,0,10.74,4.28,1.27,5.19,22.68,0,0.53,0,0,21.81,19.19,10.14,4.34,36.96,0,42.97,0,0,1836.39,0.73,3.86,4.08,0,11.37,10.45,2.81
120,0,0,0,55.22,2.15,0,14.74,28.81,0,0,2.54,0,2.44,15.79,0,0,5.02,0,25.52,13.91,18.89,2,34.6,0,6.96,1.33,0,904.11,0,0,0,2.55,8.17,2.64,0
