stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,77.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,19.93,0,36.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,531.34,0,0,0,0,0,0,0
 14-21,0,0,46.68,140.2,35.99,0,0,0,25.48,0,0.81,10.79,0,0,0,0,0,0,0,0,28.02,0,0,12.42,9.41,14.69,0,0,9.35,0,71.6,2.03,15.51,0,1.72,0,0,2.21,0,0
 24-34,0,1.23,42.3,211.79,0,0,11.86,0,119.57,0,0,10.44,0,0.86,0,1.58,0,3.67,28.05,0,12.55,1.34,3.04,1.36,47.38,0.68,0,2.2,0,0,199.77,0,21.21,0,8.75,0,0,352.25,0,0
 36-46,0,4.03,23.88,453.48,4.96,0,81.04,0,109.75,9.7,2.13,128.88,0,19.93,1.07,13.48,8.85,37.19,166.55,12.12,256.9,12.09,28.12,60.51,183.78,0,15.31,6.31,0,2.1,241.12,0,71.64,0,45.06,0,0,698.57,0,2.28
 48-58,0,0,1.68,97.88,0,0,164.93,0,36.24,0,2.3,23.69,0,14.51,1.53,0,0,1.74,38.4,2.02,24.87,4.11,1.06,0.88,68.48,0,0.48,19.66,0,0,216.59,0,10.26,0.46,21.29,0,0.64,426.07,0,3.66
 60-70,0,9.74,0,78.1,1.5,0,146.58,0,43.6,5.54,7.79,89.25,0,0,2.05,21.66,0,26.88,120.19,0,230.9,2.76,12.44,8.72,115.99,0.66,10.93,1.57,0,0.98,168.94,0,40.48,0,23.15,0.74,13.64,221.6,1.92,18.47
 72-82,0,0.9,2.76,4.01,0.78,5.87,35.33,0,5.07,0.77,2.91,24.48,0,4.07,0,0,0,0.63,67.7,0,11.13,0.78,0,0,58.69,0.66,0.49,0,0,0,30.28,0,42.76,0,1.19,0,0,261.61,0,0
 84-94,0,6.14,6.92,5.53,0,4.53,37.29,0,2.57,3.93,0.9,43.71,0,3,0.67,0,0,0.66,246.7,0,4.09,0,5.59,0.94,34.62,0,0,0,0,0,39.91,0,84.42,0,0.77,0,1.8,176.6,0.77,0
 96-106,0,2.78,6.39,48.31,15.7,5.43,34.06,6.3,17.45,1.02,3.94,86.48,0,4.97,0.56,42.6,4.35,10.23,267.17,0,9.76,2.38,2.34,1.54,90.13,0,42.04,0,0,0,232.28,0,116.41,0,2.23,6.75,0,286.95,3.27,9.11
108-118,0,3.89,14.3,37.54,1.51,57.09,56.02,0,3.47,0,5.89,146.01,0,3.39,3.44,9.85,0,1.22,1105.29,0,22.77,0,3.27,0.71,107.67,0.5,17.66,0,0,0,99.5,0,122.81,0,2.16,0,0,226.12,0,0
120,0,0,5.08,1.88,5.63,17.39,28.29,0,2.39,0,12.79,127.09,0,0,1.38,2.86,0,9.17,444.49,0,4.69,0,0,1.06,100.26,10.56,15.61,0,0,0,42.7,0,96.04,0,5.98,0,0,286.86,0,0
