stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.43,97.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0
  5-6,191.48,163.86,0,0,0,0,0,0,0,0,0,120.32,0,0,0,0,0,0,0,0,0,84.01,6.07,0,0,9.41,0,15.7,0,0,0,0,0,0,0,0,0,0
  7-9,644.27,23.29,19.98,0,0,8.33,0,0,0,0,0,250.8,0,0,0,0,0,0,0,0,0,276.18,827.8,0,0,1857.75,0,0,6.03,0,9.82,0,0,0,0,0,0,0
 10-12,0,41.89,116.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.67,1087.57,0,0,2249.29,0,7.35,16.55,7.91,81.07,14.56,0,0,0,0,0,0
 14-21,0,1.36,11.17,23.01,32.46,45.02,0,0,0,1.32,3.58,2.4,7.29,0,0,0,0,193.65,0,0,87.12,32.43,1389.48,0.95,0,20.34,0,0,0,238.4,0,45.38,12.61,0,0,18.33,0,0
 24-34,8.91,0,2.78,37.8,8.58,20.49,0,4.96,15.51,2.55,1.74,2.27,109.45,0,1.25,0,0,884.93,0,1.77,175.24,93.99,41.42,0,0,0,8.46,0,0,0,3.49,29.93,22.88,0,0,171.75,0,6.52
 36-46,0,0,0,0,0.81,23.16,0,4.98,67.67,0.63,0,0,75.22,0,0,3.01,0,1000.19,0,27.52,152.69,114.84,15.16,0,0,0,41.75,0,0,0,3.45,0,6.77,0,0.62,62.68,0,7.16
 48-58,0,0,0,2.07,0,40.91,0,4.37,59,2.76,0,0,25.96,0.53,0,5.59,1.02,666.53,0,19.07,109.75,94.93,15.19,0,0,0,10.77,0,0,0,1.33,0,23.9,0,0.74,27.36,0,5.42
 60-70,0,0,0,0,3.92,83.09,0,0,73.1,13.24,0,0,18.32,0,0,0,0,1021.39,0,11.05,76.29,97.85,21.14,0,3.26,0,9.98,0,0,0,1.17,0,16.13,0,3.45,9.31,2.76,5.13
 72-82,0,0,0,0,4.71,133.18,0,0,71.86,40.95,0,0,26.19,0.58,0,0.79,0,1223.12,0,49.13,63.91,185.41,5.08,0,0.56,0,7.94,0.93,0,0,0,0,38.38,0,7.03,16.62,8.78,8.12
 84-94,0.62,0,0,5.41,0,187.01,0,1.41,45.4,53.36,0,0,11.02,2.12,0,6.14,0,1030.82,0,67.12,54.6,124.59,12.13,0,0,0,2.49,0,0,0,4.76,0,11.45,0,17.28,33.82,9.37,9.3
 96-106,1.12,0,0,9.2,0,209.71,0.9,4.84,57.19,84.15,2.06,0,26.74,0.64,0.65,0.73,1.13,1054.68,0,53.28,56.41,202.15,18.54,0,5.84,0,10.21,2.95,0,0,6.64,0,11.67,1.13,12.76,51.53,17.19,0
108-118,0,0,0,6.51,0,199.79,0.54,3.03,41.29,84.64,0,0,28.54,1.66,1.65,5.2,0,1285.02,0.91,63.5,52.34,211.93,14.62,0,3.72,0,17.93,3.08,0,0,8.49,0,5.78,0,16.83,39.98,8.74,13.11
120,0,0,0,9.64,20.24,286.32,5.82,1.11,73.4,141.42,0,0,16.49,1.69,0,2.93,0,1401.08,0,65.31,51.05,233.54,34.29,0,0,0,26.73,0,0,0,2.22,0,14.5,0,29.86,59.3,2.27,0
