stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.11,287.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.12,343.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.03,0,0,0,0,0,0,0,0,0
  7-9,19.31,18.77,0,14.18,0,0,0,27.9,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0,0,196.22,9.52,0,0,85.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,49.85,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.23,4.36,0,0,67.92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,1.84,41.45,11.37,0,9.68,0,0,0,9.5,1.2,0,0.92,0,0,0,0.92,0,0,18.62,0,0,18.34,140.13,3.04,0,0,2.29,0,21.66,25.89,1.13,34.11,50.08,0,0,4.66,0,0
 24-34,0,0,0,0.65,9.5,0,0,7.37,0,1.64,1.56,2.45,0.63,0,0,0,2.39,0.7,0,0,0,19.56,0,0,6.8,80.65,0,3.65,2.18,0,0,21.64,0,0,2.6,17.59,0,0,10.55,0,0
 36-46,0,0,0,0,4.29,0,0,5.43,0,0.57,0,8.5,0,0,0.63,0,0.6,0,0.57,7.34,0,29.41,0.56,0,4.89,48.76,0.66,6.51,0.91,0,0,23.66,0,0,0,13.03,0,0,2.86,0.78,2.94
 48-58,0,0,0,0,2.16,0,0,16.95,0,5.56,0.65,8.8,0.49,4.42,1.1,0.42,0.38,0.98,0,0,0.59,18.83,0.81,0,3.74,28,4.14,11.06,0.82,0,0,47.31,0,0.37,0,8.51,0,0,9.52,0,11.79
 60-70,0,0,0,0,10.99,0,0,3.59,1.07,0.87,1.51,8.88,0,0,0,6.09,0,0.98,0,0,0.59,14.05,1.1,0,2.62,4.67,0,8.92,3.26,0,0,28.86,0,0,0,4.02,0,0,0.87,0,6.67
 72-82,0,0,0.87,0,2.42,0.57,0,6.53,0,0,0,13.32,1.32,0,2.57,1.03,0.54,0,3.24,0,7.54,22.12,0.83,1.83,3.3,9.15,0.5,28.92,2.64,0,3.01,23.73,0,0.66,0,1.64,0.56,0.61,6.88,0,7.05
 84-94,0,0,0,0,5.08,0.86,0,0.67,0,1.38,0,11.6,0,0,0,1.95,0,0,0,0,0,9.76,0,1.08,1.59,13.22,0,20.98,0.6,0,0,37.65,0,0.64,0,0.94,0,0,5.27,0,0.7
 96-106,0,0,0,0,4.87,4.43,1,1.52,0,1.01,0.65,6.89,1.9,0,0,4.51,0.74,0.73,7.5,0,0,17.54,2.34,0,3.57,17.07,2.01,17.09,1.91,0,0,30.51,0,1.31,0,0,1.6,0.62,13.07,0,6.47
108-118,0,0,0.61,0.61,9.36,0,0,6.37,0,7.79,1.11,26.77,1.6,0,1.56,0.91,2.25,1.96,1.34,0,0,28.14,0,2.12,2.74,15.45,0,23.54,1.01,0,0,23.5,0,0,0,0,0.84,0,15.46,0.66,22.3
120,0,0,0,1.28,9.7,0,0,0,0,0,0,9.69,4.43,0,17.64,8.09,0,2.06,2.12,1.85,0,21.59,0,0,8.09,0,0,19,6.31,0,23.67,25.7,0,0,0,2.1,0,0,12.15,0,0
