stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,otic,pronephros,spinal_cord
 24-34,0,0,0,0,0,0,0,3.56,0,4.13,0.86
 36-46,0,0,0,0,0,0.61,0,21.09,0,0,7.05
 48-58,0,0,0.51,0,0,0,0.93,4.44,2.89,0.61,3.09
 60-70,1,0,0,0,0,0,0,0.78,0,0,0.96
 72-82,0,0.85,2.4,0,0,0.51,0,0,0,0,0
 84-94,0,0,1.19,0,0,0,0,0,1.27,0,0
 96-106,0,0,0,1.48,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.55,0,2.58
120,0,0,0,0,4.69,0,0,0,0,0,0
