stage,epidermis,exocrine_pancreas,eye,glial,gut,mesenchyme,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0
 24-34,0,0,0,0,0,0,7.57,1.01,1.61,0,0.63,2.44,0,0
 36-46,0,0,0,4.36,0,0,13.73,0,0,0,0,5.09,0,0
 48-58,0,0,9.32,0,0,0,19.6,0,0.62,0,0,3.1,0,0.89
 60-70,0,0,8.94,0,0,0.81,20.05,0,0,0,0,2.16,0,0
 72-82,0.71,0,54.02,2.72,0,0.89,121.42,1.33,3.59,0,0,0,0,0
 84-94,0.6,0,49.15,1.48,0,0,33.58,1.66,0,0,0,9.63,0,0
 96-106,0.66,0,37.89,5.54,1.38,1.84,55.32,2.18,0,0,0,1.23,0,0
108-118,0,2.97,70.05,5.18,0,0,109.68,5.91,0,0.47,0,17.37,0,0
120,0,0,72.14,2.42,0,0,127.99,0,0,0,0,8.38,10.86,0
