stage,blastomeres,endoderm,epidermis,eye,hatching_gland,ionocyte,liver,mesenchyme,neural,pgc,somites,spinal_cord,xanthophores
  5-6,10.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.58,0,0,0,0
 14-21,0,0,0,0,1.78,0,0,0,0.91,0,0,0,0
 24-34,0,0,0,0.78,0,1.72,3.08,1.36,6.4,0,1.01,0.83,0.96
 36-46,0,0,0,0,0,0,0,0,1.65,0.81,0,0,13.62
 48-58,0,0,0,0.8,0,0,1.47,0,1.12,0,0,1.37,35.68
 60-70,0,0,0,1.42,0,0,0,1.57,3.24,0,0,0,22.83
 72-82,0,0,0,1.5,0,0,7,1.61,0.98,0,0,0,45.88
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,24.33
 96-106,0,0,0.6,0,0,0,0,0,0,0,0,0,20.87
108-118,0,1.47,0,0,0,0,0,1.1,0.52,1.22,0,0,5.55
120,0,0,0,0,0,0,0,0,0,0,0,0,16.34
