stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,0,77.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,80.81,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0
  7-9,4.11,0,0,0,0,4.58,0,0,0,0,0,0,0,0,73.94,21.99,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.15,39.9,0,0,0,0
 14-21,0,0,0,0.96,1.34,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0
 24-34,0,0,0,0,0,0.71,0,0,0,0,0,1.03,0,0,4.73,0,0,2.42,0,0
 36-46,0,0,0,0,0,0,2.35,0,0,0,0,15.24,0,1.25,7.38,0,0,1.4,0,0
 48-58,0,0,0,0,0,0,4.59,0.75,0,0,0,12.96,0,0,4.51,0,0,0,0.61,0
 60-70,0,0,0,0,0,1.47,4.03,0,1.23,0,1.09,4.18,0,2.95,9.57,0,0,1.75,1.26,1.18
 72-82,0,0,2.95,0,0,0.99,3.87,0,5.23,0.75,0,22.88,0,4.66,18.74,0,0,1.38,3.56,0
 84-94,0,0,2.95,0,0.67,13.35,3.16,0,13.93,0,0,7.59,0,1.82,27.46,0,0,0,0,0
 96-106,0,0,2.73,0,0,0.72,0.59,0.82,20.62,0,0.87,19.98,0,1.99,16.12,0,0,0,2.11,0
108-118,0,0,4.03,0,3.35,6.62,6.5,0,31.2,0,0,13.24,2.27,0.57,21.14,0,4.28,0,3.07,0
120,0,0,20.87,0,0,2.88,0,0,39.78,0,4.95,31.68,0,1.91,42.08,0,0,0,0,0
