stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,2.54,12.83,0.81,0.85,0,7.6,2,1.1,0,2.35,0,8.15,200.51,0,2.77,1.31,6.31,0,4.92,68.48,0
 24-34,0.6,3.94,0,7.02,0,7.9,0,0,0,16.49,0,4.27,325.96,0.67,0,0,0,0.79,1.43,134.48,0.98
 36-46,0,0,0,0.7,0,5.5,0,0,0.61,10.4,0,4.66,74.76,0,0,0,0,0,0,44.99,0
 48-58,0,5.86,0,0.67,0,0,0,0,0,0.96,1.23,0.43,4.33,0,0,0,0,1.07,0,5.04,0
 60-70,0,0,0,14.56,0,1.14,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0.72,0
 72-82,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.2,0,0,0,1,0,0,6.53,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.61,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0
