stage,axial,blastomeres,endoderm,hatching_gland,neural,paraxial_mesoderm,pronephros
  3-4,0,287.94,0,0,0,0,0
  5-6,7.58,73.34,0,0,0,0,0
  7-9,4.88,0,3.28,11.22,27.46,15.63,0
 10-12,0,0,0,28.54,21.05,0,3.78
