stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.89,0,0,12.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.09,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,27.24,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.91,28.85,0,0,0,0,0,0,2.45,0,32.87,0,0,0,0,0
 24-34,0,0.71,2.21,2.92,0,4,0,0,2.02,0.77,1.48,0,0,0,0.71,0,0,0.97,0,0,3.42,188.77,0.7,23.27,0,0,0,16.27,0,0,196.19,0,0,4.1,0,0
 36-46,0,0.98,0,1.08,0,3.65,0,0,0,11.68,0,0,0,0,0,0,0,4.59,0,0,2.25,599.16,0,28.87,0,0,0,18.99,0,0,282.68,0,0,0,0,0
 48-58,0,0.42,0,4.09,0,59.93,0.7,0,0,34.14,0,0,0,0,0,0,0,4.54,0,0.66,0.47,886.56,0,18.86,1.22,0,0,7.68,0,0,239.94,0,0,0,0,0
 60-70,0,0,0,10.56,0,131.55,0,0,3.35,57.74,0,0,7.06,0,0,0,0,8.85,0,0,1.27,1367.58,0,46.18,0,0,0,19.63,0,0,280.18,0,0,0,0,0
 72-82,0,0.61,0,7.1,3.53,163.42,0,0,0,60.16,0,0,0,2.8,0,0,0,21.77,0,1.08,1.22,1440.21,0,28.16,1.58,0,1.06,12.46,0,0,193.35,0,0.76,2.14,0.59,9.05
 84-94,0,0,0,5.32,1.21,150.51,0.64,0.58,0,51.83,1.45,0,0,0.67,0,0,2.69,17.9,0,1.31,0.79,992.79,0,15.72,0.72,0,0,12.9,0,0,87.51,0.71,0.56,0,0,6.04
 96-106,0,0.9,0,7.82,0,142.77,0,0,1.26,57.06,1.09,1.86,0,0,0,3.85,0.57,19.08,5.14,1.93,1.63,761.82,0.62,33.11,0.65,0,0,2.82,0,0,48.76,1.13,1.88,4.55,0,0
108-118,0,0,0,14.97,2.18,136.52,0,0,0,80.18,0.43,0,0.72,0.56,0,0,0,20.26,0,0,0.52,857.7,0,32.47,0,0,0,3.17,0,0.8,52.29,0,0,1.82,4.3,0
120,0,0,0,6.61,0,191.83,12.08,0,0,82.15,0,3.35,0,0,0,0,0,34.92,0,8.17,2.57,1143.86,0,34.32,0,0,0,1.11,0,0,73.99,0,0,1.1,9.16,0
