stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,3.28,4.31,0,0,0
 10-12,0,0,0,0,0,5.92,0,0,23.13,0,0,0,0
 14-21,0,0,0,0,0,0,0.88,0,1.85,0,0,0.95,0
 24-34,0,0.62,1.33,0,0,0,0,0,8.46,0,0,5.51,0.83
 36-46,0,0,0,0,1.06,0,0.62,0,3.6,0,0,0,0
 48-58,0,0,2.77,0.43,1.29,0,2.87,0,2.23,0,0,2.26,0
 60-70,0,0,0,0,0,0,7.98,0,1.15,0,0,0,0
 72-82,0,0,2.19,0,0,0,6.49,0.53,0.68,0,0,0,0
 84-94,0,0,0,0,0,0,1.29,4.37,0,0,1.85,0,0
 96-106,0,0,0,0,0,0,5.18,0,0,0,0,0,0
120,5.01,0,0,0,0,0,0,0,1.48,0,0,0,0
