stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,68.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.94,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,11.52,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0.86,0,0,0,0,0,3.82,1.54,2.01,0,0,0,0,0
 24-34,0,0,0,0,3.86,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,2.97,66.38,1239.28,0,1.35,0,0,3.53,0.7,0,0,4.71,0,0,11.17,0,0.89
 36-46,0,0,0,0,4.9,0,0,23.31,0.68,0,1.26,7.51,0,0,0,0,0,0,0,0,0,10.59,0,0,4.84,122.18,5622.9,0,1.22,0,0,9.26,0,0,0,35.7,0,0,1.64,0,1.47
 48-58,8.44,0,0,0,8.93,9.37,0,86.24,0.86,0,2.58,23.81,0,0,0,0,0,0,0,0.66,0.53,33.04,0,0,3.16,305.9,11459.61,1.39,1.14,0,0,3.87,0,0.84,0,45.27,0,0,2.87,0,6.21
 60-70,72.86,0,0,0,4.62,1.83,0,109.91,0,1.82,0,28.11,0,0,0,13.86,0,8.58,0,0,1.56,23.43,1.76,0,1.75,314.33,9956.76,12.09,0.58,0,0,17.55,0,0,0,35.85,0,0,2.98,0,8.99
 72-82,0,0,0,0,13.76,12.86,0,155.06,4.31,0,0,48.79,1.28,29.33,1.25,0.61,0.93,6.11,0,0,6.83,59.29,0.58,0,7.28,189.23,9347.57,7.95,7.89,0,0,8.7,0,0,0,6.33,2.13,0.75,3.94,0,20.38
 84-94,17.85,0,0,0,12.05,29.3,0,88.28,0,2.63,1.43,28.75,2.28,0,0,3.16,0.89,0,0.73,0,0,39.62,0.61,0.94,4.22,120.79,14191.63,3.73,0,0,0,19.32,0.6,0,0,3.34,0,0,4.47,0.78,10.15
 96-106,55.32,0,0,0,38.4,62.48,0,140.22,11.85,7.39,13.75,36.96,5.28,0,1.62,10.07,3.73,0,4.19,23.47,0,75.97,7.77,6.89,6.62,218.25,13508.38,3.17,0.58,0,0,47.76,4.44,0.64,0,11.69,2.29,8.54,26.66,2.63,1.22
108-118,119.99,0,1.56,0,16.56,14.54,15.44,129.85,0,14.79,2.67,42.23,16.89,0,0.68,3.06,0.87,4.58,1.34,17.2,1.51,171.36,4.62,2.39,5.88,381.66,15001.4,7.75,1.15,0,2.47,22.72,0,0,0,14.35,0,11.68,7.28,0,7.63
120,149.14,0,0,0,53.78,28.33,0,186.18,0,0,6.89,32.95,17.09,0,1.15,7.53,0,8.96,4.16,0,1.33,100.77,0,2.33,28.2,334.9,22610.35,0,20.17,0,0,32.25,0,0,0,1.95,0,0,0,0,3.85
