stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,334.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.09,378.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,54.83,46.46,0,18.75,0,0,0,140.94,0,0,0,0,0,43.18,0,0,0,0,0,0,0,0,0,0,1397.18,72.3,0,0,201.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.57,0,54.69,0,0,0,194.4,0,0,0,0,0,50.14,0,0,0,0,0,0,0,0,0,0,976.73,380.87,0,0,212.36,0,0,0,0,0,0,16.13,0,0,0,0,0,0
 14-21,0,0,0.8,6.83,55.32,0,0,16.57,0,13.56,0,10.33,2.97,0,23.57,0,4.51,0,0,0,24.4,0,0,42.04,680.86,150.35,2.23,67.45,16.77,0,2.81,0,18.72,1.15,230.31,618.76,179.14,0,0,0.82,0,0
 24-34,0,0,3.07,4.88,20.77,4.3,0,59.41,1.56,39.82,0,11.73,0,0,6.32,0,32.97,0,0,5.85,41.09,1.93,0,26.78,2231.4,14.56,2.55,20.94,0,0,4.53,0,0,3.55,16.49,121.07,249.55,0,0,0,0,0.98
 36-46,0,0,0,1.45,19.71,1.49,0,263.3,3.62,28.6,0.87,53.78,0.79,0,0,5.39,10.64,0,2.66,9.65,90.26,1.72,0,6.76,2996.59,9.23,5.71,6.98,7.09,1.69,9.41,0.78,0,27.05,19.63,3.78,262.9,0,0,2.41,0,2.12
 48-58,0,0,0,0,31.24,1.06,0,428.57,9.7,20.12,1.94,82.86,0.49,2.92,0,0,12.72,0,3.82,4.6,140.27,1.22,0.56,16.58,1770.39,7.6,0.39,6.44,0,0,0,0,0,1.14,4,0,181.03,0,0.51,1.44,0,9.66
 60-70,0,0,1.79,0,86.28,0.71,0,395.72,8.59,28.72,3.08,86.27,1.21,0,0,0,1.37,0,8.77,1.83,260.73,0.85,1.7,9.44,1172.01,3.57,0,7.29,0.81,0,8.93,0,0,10.9,10.19,0,161.62,1.67,5.85,0.85,0.81,0
 72-82,0,0,6.26,0,59.62,12.53,0,228.21,5.76,11.71,3,72.32,7.57,0,2.25,0,16.57,4.11,21,3.96,238.6,0,4.66,8.85,709.88,2.81,4.05,6.06,1.13,0,0.56,0,0,1.06,2.88,0,79.9,22.18,6.57,7.06,4.82,0
 84-94,0,0,4.95,0,99.28,6.42,0.65,214.55,5.6,17.82,8.23,66.66,8.98,0,2.32,0,22.18,2.67,9.2,1.26,162.43,0.56,0.65,4.82,551.03,4.39,8.09,13.2,0,0,4.28,0,0,0,2.5,0,30.92,79.94,12.45,0,13.19,4.6
 96-106,0,0,5.27,0,89.67,28.04,1.53,175.61,1.35,15.64,0.64,105.57,18.52,0,0,1.21,12.29,1.71,35.01,11.35,172.96,0,1.76,3.5,466.95,1.81,2.54,11.76,0,0,14.96,0,0,0.71,0,0,30,107.98,10.12,5.18,13.59,0
108-118,0,0,1.82,1.06,115,7.34,6.22,167.54,7.96,17.21,4.11,64.74,27.94,0,2.01,3.13,34.77,0,21.49,10.92,130.25,0.53,2.15,9.91,524.44,11.44,2.08,9.99,0,1.08,12.28,0,0,0,4.11,0,14.24,158.54,7.92,12.8,10.11,0
120,0,0,2.96,0,88.93,5.36,1.06,150.76,7.59,1.28,0,83.96,20.97,0,0,6.23,29.31,0,19.98,27.74,235.48,1.13,10,7.04,833.81,0,1.09,12.77,0,0,1.33,0,0,0,1.32,0,47.33,46.72,7.46,12.45,2.66,0
