stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,60.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.54,24.07,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.31,0,0,22.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.19,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.27,0,0,22.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0.82,7.36,0,0,0,0,0.9,0.89,0.86,2.78,0,0,0,0,0
 24-34,0,0,0,0,0.74,0,0,2.73,0,0,1.84,0,0.86,0,0,0,0,0,2.67,0.68,26.23,0,0.77,0,0,0,3.53,0,4,0,0,0.73,0,0
 36-46,0,0,0,0,0.66,0,0,0.63,0,0,0,0,0,0,0,0,0,0,7.53,0.73,8.68,0,0,0,0,0,12.05,0,4.46,0,0,0.58,0,0
 48-58,0,0,0,0,0,0,0,2.57,0,0,3.67,3.14,0,0,0,0,0,0,3.72,0,9.05,0,0,0,0,0,7.79,0,2.3,0,0,0,0,0
 60-70,0,0,0.62,0,0,0,0,1.43,0,0,1.98,9.65,0,0,0,0,0,0,5.01,0,5.41,0,0,0,0,0,8.84,0,1.06,0,0,0,0,0
 72-82,0,0,7.01,0,0,0,0,4.84,0,0.6,1.95,131.53,0,0,0,3.95,0,0,14.96,0,29.27,0,0,0,0,0,9.8,0,0,0,0,1.53,0,0.99
 84-94,0,0,8.66,0,0,0,0,3.8,0,2.18,4.27,240.81,0,0,0,0,0.62,0,20.23,0.71,35.05,0,7.45,0,5.35,0,6.47,0,1.08,0,0,0,3.29,0
 96-106,0,0,16.85,0,0.98,11.97,0,17.82,0,1.54,10.53,628.27,0,0,0,0,0.71,9.37,30.15,0,97.2,3.16,0,0,4.7,0,10.21,0,0,0.59,0,0.76,0,19.05
108-118,0,0,23.81,0,0.49,9.24,3.55,27.26,1.09,4.12,11.98,961.62,0,2.08,0.49,4.71,0,4.63,32.43,0,107.09,0,3.17,0,4.06,0,5.96,0,3.77,0,0,0,0,2.22
120,0,0,35.74,0,3.65,10.98,0,6.04,0,0,0,801.26,0,13.82,0,0,0,23.64,5.98,0,157.96,0,0,0,0,0,8.59,0,0,0,3.8,2.64,0,0
