stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,0,0.92,7.36,8.65,2.05,0,0,0,6.33,1.78,0,0,0,0,0,0,3,0,1.97,0,0,1.68,50.05,2.82,0,0,0.91,0,2.16,1.96,1.1,1.74,5.68,31.55,0,0,0,0,0
 24-34,0,0,1.74,3.72,30.35,22.09,0,0,0,2.53,0,0,0.6,0,0,0,0.71,0.86,1.23,9.01,0,0,4.77,130.7,2.1,5,0.71,0,0,0.74,0,1.77,0,2.08,32.51,0,0,1.32,0,2.2
 36-46,0,0,0.96,0.6,10.28,39.37,0,0,0,1.56,1.16,0,0,0,0,0,0.61,2.02,0,5.51,3.65,0,0,196.94,0.57,2.33,0,0,0,15.09,0,0,0,0,36.4,0,0,0,0,5.17
 48-58,0,0,0,0,13.01,58.55,0,0.39,0.86,9.85,0.58,0,0,0,0,1.3,0,1.73,0,10.29,0,0,0.48,194.28,3.92,1.92,2.92,0,0,3.33,0,0,0,0,26.28,0,0,7.22,0,0.69
 60-70,0,0,0,9.16,7.61,358.7,0,0,0,7.66,2.06,0,0,0,0,4.64,0,1.06,0,15.12,0,0,1.13,291.46,0,0,0,0,0,1.66,0,0,0,0,24.4,0,0,1.22,0,10.6
 72-82,0,0,0,4.53,37.21,554.23,0,2.77,1,12.38,6.07,0,0,2.74,1.02,10.08,0,0,0,23.85,0,0,2.12,319.1,0,3.86,0,0,0,2.11,0,0,0,0,24.2,0,6.62,3.5,0,0
 84-94,0,1.16,0,10.3,16.76,465.74,2.01,0,0,15.67,8.7,0.99,0,0,0,10.02,0,0,2.24,4.86,0,0,2.37,250.23,0,0,0,0,0,0,0,0,0,0,21.91,0,0,0,0,2.17
 96-106,0,0,0,0.86,32.77,610.81,4.02,5.28,0,25.63,10.48,0,0,0.78,0,2.14,0,0,0,12.88,0,0,0.56,233.27,0,0,0,0,1.36,3,0,0,0,0,7.87,0,1.01,3.13,2.04,2.89
108-118,0,0,0.61,12.55,14.82,455.83,2.43,0,0,25.97,21.56,0,0,0,0,14.76,0.43,0,0,6.26,0,1.21,1.46,324.8,0.56,4.09,0.44,0,0,1.04,0,0.45,0,0,6.45,0.52,0,1.48,0.5,4.43
120,0,0,0,9.49,27.42,572.69,1.1,0,0,67.08,2.54,0,0,0,0,2.67,0,0,0,40.69,0,0,1.51,577.81,0,0,0,0,0,0,0,0,0,0,31.64,0,0,13.91,14.11,0
