stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.45,85.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,4.47,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.98,0,0,6.18,0,31.13,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0,366.63,12.33,0,0,52.68,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.74,6.68,0,7.5,0,0,0,2.23,0,1.44,0.84,0,0,0,0,0,29.37,0,0,9.48,251.85,175.88,0,5.29,9.35,0,0,1.73,0,3.28,106.49,0,0,4.19,0,0
 24-34,0,0,1.11,2.03,0.89,0,4.09,0,0.81,0,5.97,0,0,0,0,0,0,0,0,124.42,0,0,16.45,311.07,133.22,0.69,25.92,0,0,0,0,0,0,109.63,0,0,23.07,0,0
 36-46,0,0,0,0,0,0,7.61,0,0,3.53,4.91,0,0,0,0,0,0,0.72,0,458.51,0,0,31.05,187.02,219.26,0,39.67,0,2.85,0.76,0,0,0,32.4,0,0,6.57,0,0
 48-58,0,0,0,0,0,0,32.42,0,0.62,7.32,8.93,0,1.19,0,2.95,0,5.04,0,0,819.98,0,2.64,69.15,113.49,188.24,0,33.47,0,0.45,1.04,0,0,0,14.07,0,1.93,8.55,0,0
 60-70,0,0,0,3.21,0,0,30.33,0,0,23.65,17.24,0,0,1.45,0,7,0,2.86,1.2,1622.86,0,5.91,76.26,106.89,101.86,0,42.61,0,7.43,3.51,0,0,0,2,0,17.22,2.61,7.76,0
 72-82,0,0,0,2.7,0,0,34.33,2.21,0,59.32,23.66,0,0,1.31,1.54,0,0,1.5,0,1565.55,0.75,44.97,96.12,141.81,70.33,0,87.27,0,16.34,0,0,2.57,0,4.58,0,21.31,12.16,34.83,0
 84-94,0,0,0,7.48,0,0,82.81,0.81,0,27.53,19.62,0,0,1.45,4.19,0,0,2.8,0,1546.04,2.16,31.26,43.95,56.1,91.27,0,120.24,0,8.55,2.98,0,0,0,7.91,0,18.63,11.36,35.52,0
 96-106,0,0,0,5.66,0,0.84,21.73,0,0,29.2,17.36,1.47,0,1.68,1.23,0,0,0,0,1072.94,1.38,6.34,30.58,69.07,36.57,0,61.74,0,13.3,0,0,0,0,7.44,0,14.87,8.98,33.73,8.09
108-118,0,0,0,1.01,1.14,0,42.34,0,1.29,14.68,19.62,0.43,0,1.44,3.08,0,0,0.94,0,849.95,5.04,12.63,42.61,46.43,44.28,0,83.28,0,19.24,0,0,0,0,2.68,0,8.2,13.96,16.24,0
120,0,0,0,2.72,0,0,32.4,0,0,19.04,15.22,0,0,7.68,2.92,0,0,3.58,0,716.47,0,3.62,40.68,28.07,42.08,0,79.62,0,2.76,0,0,0,0,11.27,2.31,5.48,1.54,45.15,0
