stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,66.71,663.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0,0
  5-6,103.52,969.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.63,0,0,26.7,0,0,67.38,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,410.98,14.52,0,0,170.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.03,0,11.03,0,0,16.93,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,444.7,7.35,0,0,83.5,0,0,6.56,0,14.82,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,10.39,1.87,5.43,0,1.16,0,5.41,1.29,1.62,0,0,1.07,0,0,0,0,8.36,0,0,5.91,74.59,0.83,0,2.14,0.84,0,0,0,3.1,1.75,6.37,37.25,0,0,0,0,0
 24-34,0,0,0,0.59,14.16,0,18.91,0,0,0,5.28,0.66,0,2.24,0,0,0,1.43,0,1.75,23.24,0,0,7.96,395.77,0.6,3.63,4.39,1,0,7.71,0,0,0,2.64,92.94,0,0,8.74,0,0
 36-46,0,0,0,0,1.93,4.4,82.83,4.85,0,0,20.93,0,0,0,0.56,11.08,1.42,0,0,0,35.25,0.65,0,3.74,590.85,1.24,3.2,0,0,0,8.15,0,0,1.06,0,113.22,0,0,2.23,0,0
 48-58,0.58,0,0,0,5.07,0,138.09,0.41,1.07,1.16,33.71,0,0,0,0,0,0,0,3.29,0,22.22,1.67,0.43,5.15,430.28,0.56,1.81,0,0,0,6.96,0,0,0,0,92.84,0,0,3.9,0,0
 60-70,0,0,0,0,5.56,2.47,130.31,0,1.01,0,12.23,2.03,0,0,1.17,0,0,0.7,0,0,53.37,0,2.56,3.08,319.62,2.27,3.06,0.71,0,0.71,11.33,0,0,0,0,27.83,0,0,15.51,0,0
 72-82,0,0,0,0,2.39,6.4,106.27,0,0,2.52,9.96,0.71,0,0,0.55,0,0,0,2.04,0,21.74,0.71,1.01,6.87,174.31,0,0,3.93,0,0,6.84,0,0,0,0,18.7,0.91,0,0.55,0.93,3.06
 84-94,0,0,0.66,0,11.27,0,65.28,0,0,0,7.1,0.92,2.66,0,4.02,1.06,0,0,2.64,6.93,16.04,0,0,3.06,146.45,1.14,0.89,8.07,0,0,14.33,0,0,0,0,12.13,0,0,5.84,0,7.62
 96-106,0,0,0,0,5.72,6.48,57.24,0,1.27,0,8.02,3.44,0,0,3.07,1.27,0,1.76,0,0,25.89,3.23,0,2.46,97.15,0,0.75,1.01,0,1.92,21.07,0,0,0,0,3.05,0,0,3.77,0,0
108-118,0,0,0,0,18.07,2.41,65.74,0,5.54,0.7,28.31,2.9,0,0,8.45,2.18,0.44,0,3.26,0,24.63,0,0,2.57,134.85,0.71,0,2.58,0,0,13.8,0,0,0,0,0,0.83,0,4.65,0,0
120,0,0,0,0,9.67,1.62,40.99,0,0,1.67,30.06,5.17,0,0,13.48,0,1.17,0,0,0,7.44,0,0,6.61,89.8,0,1.15,2.3,0,0,4.53,0,0,0,0,0,3.65,4.13,0,19.49,0
