stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.96,8.36,6.42,3.96,0,0,0.85,3.5,0,0,0,0,3.43,2.71,0,0,1.35,64.09,0,0,0,0,0,30.92,0,0,2.67,0,0
 24-34,1.38,0.65,0.62,5.1,0,1.02,0,1.69,0,0,0,0,0,5.25,0,0,0,192.92,3,0,0.98,0.65,0.64,62.34,0,0,4.61,0,0
 36-46,0,0,0,9.95,0,0,4.94,0.67,0,0,0,0,0,15.73,0,0,1.73,538.98,0,13.33,1.83,0,0,151.32,0,0,0,0,0
 48-58,0,11.36,0,35.1,0,0.4,16.35,0,0,1.56,0.46,0,0,9.72,0,0.94,2.67,549.13,0.85,0,0,0,0,158.71,0,0,6.28,0,0.47
 60-70,0,0.99,0,123.23,5.04,0.67,17.4,0,0,0,0,0,0,23.72,2.49,0,1.36,584.76,0,0,0,0,0,196.29,0,0,0.68,0,0
 72-82,0,2.18,0,89.09,0,0.9,10.07,0,0.75,4.17,0,0,8.9,17.71,0,0,0.66,421.02,0,0.61,0,0,0,61.45,0.53,1.26,0,0,0
 84-94,0,2.63,0,39.83,0,0,7.06,0,0,0.73,4.09,1.2,0,17.91,0,0.6,0.73,266.49,0,0,0,0,0,86.89,0,0,2.02,1.16,0
 96-106,0,2.63,0,31.98,0,0,6.35,0,0,1.59,0,0,0,12.07,0,0,0,275.73,0,0,0,0,0,22.38,0,0,2.67,0,2.76
108-118,0,0,1.05,56.81,1.3,0.83,10.23,0.52,0,2.76,0,0,0,10.97,0,1.38,2.29,311.87,0,1.94,1.69,0,0,29.71,0,0,3.8,0,0
120,0,0,1.31,30.68,0,1.74,29.37,0,0,6.36,0,0,0,8.19,0,0,2.09,342.26,0,0,0,0,0,6.95,0,0,33.33,0,0
