stage,blastomeres,endoderm,eye,glial,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord
  5-6,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.95,0,0,3.56,0,0,0,0,22.41,0,0,0,5.23,0,0
 10-12,0,0,0,0,0,0,0,0,0,18.22,3.96,0,0,6.75,19.27,0
 14-21,0,0,0,0,0,1.15,0,0,0,2.08,0,1.74,0,1.73,0,6.8
 24-34,0,0,0,1.77,0,0,0,0.68,0,0.84,0,0,0,0,0,0
 36-46,0,0,0,2.08,0,0,0,0,0.68,5.64,0,0,0,0,0,4.54
 48-58,0,0,3.93,2.88,0,0,0,1.61,0,0,0,0,0,0,0,3.44
 60-70,0,0,2.3,0,0,0,0,0,0,1.58,0,0,0,0,0,0
 72-82,0,0,0.51,0,0,0,0,2.17,0,0.76,0,0,0,0,0,0
 84-94,0,0,2.49,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 96-106,0,0,0,0,0,0,0.58,0,0,0,0,1.81,1.93,0,0,0.98
108-118,0,0,0,3.25,0,0,0,0,0,0.63,0,0,0,0,0,0
120,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0
