stage,eye,iridophores,melanocytes,mesenchyme,neural,spinal_cord,xanthophores
 24-34,1.28,0,0,0,0.69,0,0
 36-46,0,0,0.7,0,15.45,0.65,0
 48-58,0,0,1.7,0,0,0,2.8
 72-82,0,0,0,0.5,0.74,0,3.5
 84-94,0,0.63,0.73,0,0,0,0
108-118,0,0,2.76,0,0,0,0
