stage,blastomeres,eye,neural,paraxial_mesoderm,periderm
  3-4,87,0,0,0,0
  5-6,72.38,0,0,0,7.18
  7-9,0,3.92,0,5.39,0
 10-12,0,0,5.71,3.79,0
