stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  3-4,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.47,3.96,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,10.39,0,0,0
 14-21,0,0,1.08,0,0,0,0,1.3,0,0,0,0,0,0,0.83,0,0,0,1.76,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0
 48-58,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,2,0,0,0,3.99,0,0
 60-70,0,0,0,0,22.71,0,0,10.66,0,0,0.7,0,3.05,0.65,0.94,0,0,0,2.1,0.64,0
 72-82,0,0,1.55,8.9,38.5,0,0.5,0,0,2.8,0,0,0,0.56,17.52,0,0,0,0,5.32,0
 84-94,0,0,0,5.53,146.97,0,0,0,0,0,0,0,2.04,0,3.69,0,2.75,0,1.41,0,0
 96-106,0,1.75,0,3.13,153.31,0.75,0,0,0,0,3.14,3.96,9.91,4.28,23.34,0,0.68,0,0,0,0
108-118,0,0,0,5.05,170.89,0,0,0,0,0,0.59,0,0,1.29,9.02,0,0,0,2.69,0,1.33
120,0,0,0,2.15,126.68,0,0,0,1.4,0,8.29,0,0,0,10.69,0,0,0,1.18,0,0
