stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,78.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.82,6.45,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,23.02,12.28,0,0,17.45,0,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.6,0,0,0,0,0,0,0,4.35,0,0.95,0,0,0,0,2.61,13.67,0.9,0.86,0,0,0,0,0,3.03,0,2.64,10.93,3.73,0,0,0,0
 24-34,0,0,0,0,3.02,1.64,0,0.92,0.64,0,2.38,0,0,0,1.19,12.49,0,30.2,32.74,7.54,1.47,0.69,0,0,0,0,0,1.89,2.45,2.71,4.09,0,2.57,0,0
 36-46,0,0,0,0,1.47,15.02,0,0.95,1.08,0,0,0,0,1.61,0,9.96,0.74,1.41,21.71,4.92,0,0,0,0,1.97,0,0,0,0.57,0,3.53,0,0,0,0
 48-58,0.77,0,3.47,0,5.93,5.86,0,1.98,1.04,0,0.42,6.12,0,0,0,32.67,0.99,10.33,16.9,10.79,0,0.5,0,0,0,0,0,0,1.78,0,6.02,0,0.43,0,7.78
 60-70,0,0,0,0,5.33,0,0,0.64,13.71,0,0,0,0,0,0.71,29.32,0.79,3.23,27.59,22.05,0,0,0,0,0,0,0,1.17,2.06,0,0,4.27,2.78,0,0
 72-82,0,0,0,0,5.8,0.49,0,1,16.16,0,2.84,0,0,0,0,93.79,4.49,15.6,23.43,15.44,0,0,0,3.76,0,0,0,0,1.81,0,4.97,2.99,5.18,3.14,0.63
 84-94,0,0,2.18,0,11.43,1.46,0,0,17.84,0,0,0,0,0,0,71.02,4.3,14.38,5.03,7.81,0,0,0,2.09,0,0,0,0,0,0,0,0,1.11,2.75,1.57
 96-106,0,0,0,0,13.83,2.82,0,0,4.34,0,0.66,0,0.81,1.39,0.77,56.17,7.27,20.18,19.14,9.41,0,2.22,0,4.73,3.51,0,0,0,0,0,4.35,3.6,2.24,2.5,0
108-118,0,0,4.48,0,15.33,1.94,0.94,0,12.5,0,1.02,0,0,0,0,61.41,11.26,14.61,13.67,4.44,0,1.01,0,4.8,0,0,0,0,0,0,3.12,3.65,1.16,1.27,3.05
120,0,0,0,1.84,0,3.24,0,5.39,4.81,0,0,0,0,0,0,62.63,3.51,8.38,4.99,7.65,0,0,0,0,0,0,0,0,1.22,0,0,2.68,0,5.76,0
