stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,18.51,99.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0
  5-6,8.5,61.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.53,0,0,0,0,0,0,0,0,43.86,0,0,10.57,0,0,0,0,0,0
 10-12,0,0,7.92,0,3.47,0,0,0,0,0,0,0,0,64.67,0,0,7.37,0,0,5.98,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,0.83,0,2.23,5.4,0,2.36,0,0,0,0,0,1.01,0
 24-34,0,0,0,0,0.91,0,0,0,0,0,1.56,0,0,8.86,0,0,0,0,0,0,0,3.34,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.75,0,0.56,1.5,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,11.66,0,0,0,0,0,2.65,0.56,0.45,12.22,0,0,0,0,0,0,0,0.73,0
 60-70,0,0,0,0,5.36,0,0.62,0,0,0,16.39,0,2.69,13.26,0,0,0,0,0,0,0,2.44,0.84
 72-82,0,0,0,0.63,3.77,0,1.24,0,0,0,12.63,0,1.15,13.16,0,0,0,1.78,0,0,0.53,0,0
 84-94,0,0,0,0.57,4.56,2.14,0.98,0.73,0,0,1.32,1.3,0,1.53,0,0,0,0,0,0,0,1.56,0
 96-106,0,0,0,0,4.14,0,0,0,0,0,7.77,0,0,9.95,0,0,0,0,0,0,0,0,0
108-118,0,0,0.74,0.53,2.05,0,2.88,0,4.64,0,7.06,0,0,7.59,0.48,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,2.05,0,0,0,9.36,0,0,0,0,0,0,0,0,0
