stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,210.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,111.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.79,0,0,0,12.07,0,0,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.09,0,0,15.13,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,66.24,0,0,0,18.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,9.96,0.91,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,4.38,65.9,5.92,0,0,0,0,3.52,0,3.02,0,0,25.96,17.28,0,1.14,0,0
 24-34,0,0.83,0,2.43,0,8.22,0.74,0,0,3.22,0,0,1.37,3.74,0.62,0,0,0,0.69,7.7,0,0,5.88,100.66,0,0,0.73,0,0,7.65,0,0,0,0.87,15.22,23.54,0,0.87,0,0
 36-46,0,0,0,2.02,0,3.03,1.83,0.57,1.5,9.58,0,0,0,2.68,0.62,0,0,0,0,13,0,0,6.11,87.2,0,0,0,0,0,4.32,0.81,0,0,0,0.63,36.05,0,1.21,0,7.75
 48-58,0,0,0,3.81,0,16.79,1.15,0,0.4,10,0,0.93,0,1.02,0.44,0,0,0,0.59,9.09,0,0,5.98,50.27,0,0.39,0,0,0,9.55,0,0,0,0,0,19.03,0,6.15,0,2.94
 60-70,0,0,0,8.24,0,20.77,0.64,0.69,0.87,8.34,1.66,1.21,0,16.58,0,0,0,0,0,18.77,0,0.93,5.39,50.01,0,0,1.12,0,0,5.19,0,0,0,0,0,9.62,1.06,2.75,0,0
 72-82,0,0,0,0.71,1.18,14.86,0.5,0,2.72,12.49,0,0.6,0,3.23,1.81,0,0,0,0,33.92,0,0.88,2.37,41.52,0,2.88,3.95,0,0,7.01,0,0,0,0,0,5.78,0,2.03,1.93,2.94
 84-94,0,0,0,3.14,0.86,21.37,1.97,0,0,9.64,0.91,1.23,0,8.5,1.69,0,0,0,0,11.26,0,0,1.28,48.12,0,0,0,0,0.57,12.75,0,0,0,0,0,11.81,0,10.07,0,0
 96-106,0,0,0,13.6,8.93,12.23,0,0.89,1.07,17,3.89,0,0,14.69,3.59,0,2.83,0.62,0,27.28,0,0.66,2.91,24.03,0.73,6.15,2.65,0,0,5.73,0,0,0.7,0,0,2.66,1.08,7.03,1.67,5.23
108-118,0,0,0,11.78,4.33,16.78,2.03,2.18,0,12.72,5.92,0,0.74,10.99,7.79,1.9,2.97,0,1.36,24.22,6.96,0,7.37,35.33,1.14,4.08,0.68,0,0,10.96,0,0,0,0.87,0,4.94,2.99,0.69,1.76,11.48
120,0,0,0,15.05,14.58,22.03,1.09,6.31,0,66.91,1.68,0,0,34.68,2.42,6.95,2.98,0,0,40.49,0,0,3.89,116.95,0,0,5.18,0,17.01,20.32,0,0,0,0,0,12.69,0,5.89,0,0
