stage,blastomeres,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,spinal_cord,vasculature
  3-4,13.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.64,0,0,9.48,0,4.79,0,0
 10-12,0,4.95,0,0,0,0,0,14.17,0,0,0,0
 14-21,0,0,0,0.96,0,0,0,0.89,2.35,0,0,0
 24-34,0,0,0,0,0,0.76,0,8.07,0,0,6.97,0
 36-46,0,0,0,0,0,0,1.38,13.61,0.68,0,1.77,0
 48-58,0,3.66,2.98,0,0,6.43,0,6.25,0.99,0,0.9,0
 60-70,0,0.6,1.03,2.59,0,2.25,0.84,0.86,0,0,0,0
 72-82,0,0,0,8.28,0,0,0,2.72,0,0,0,0
 84-94,0,1.02,0,0.82,0,0.78,0,0,0,0,0,0
 96-106,0,0.9,0,0,0,0,0,0,0,0,0,0
108-118,0,0.62,0,1.34,0,0,0,0,0,0,0,1.12
120,0,0,0,0,0,1.15,0,2.21,0,0,0,0
