stage,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros
  7-9,0,0,4.78,0,0,0,0,0,0,0,0,0,6.02,0,0
 10-12,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46
 14-21,0,0,0,0,0,0,0,0,0,1.34,0,12.43,1.3,0,0
 24-34,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0.93,1.04
 36-46,0,0,0.89,0,0,0,0,0,0,1.25,0,5.02,0,0,0
 48-58,0,0.4,1.47,0,0,0,0,0,0,0.39,0.42,2.25,0,0,0
 60-70,0,0,0.8,0,0,0,0,0,0,0.76,0,3.77,0,0,0
 72-82,0,0,6.16,0,0,0,0,0,0,0,0.97,1.89,0,0,0.64
 84-94,0,0.94,0,0.79,2.65,0,0,0,0,0.67,1.64,0,0,0.74,1.6
 96-106,0,0,0,0,0,0.9,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0,0.46,0.52,0,0,0,0,0,1.34,1.61
120,0,0,2.48,0,0,0,0,0,3.84,6.17,0,0,0,0,0
