stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,84.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,57.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.76,5.67,0,7.14,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,46.28,4.58,0,0,9.52,0,0,0,0,0,0,0,0
 10-12,0,6.21,0,7.07,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,167.47,3.96,0,0,20.38,0,0,4.37,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,2.81,0,0.98,0,0,0,0,0,0.84,0,3.56,0,0,0,0
 24-34,0,0,0.71,0,0,0,2.31,0,2.12,0,0,0,0.68,0,0,0,1.56,0.6,37.24,0.75,0,0,0,2.52,0,0,9.92,0,0,0,0
 36-46,0,0,0,0,0,0,3.77,0,1.9,0,0,0,0,0,0,0,0,0,23.54,0,1.77,0,0,1.56,0,0,14.91,0,0,2.35,0
 48-58,0,0,0,0,0,0,8.72,0,2.01,0,0,0.87,0,0,0,0,0.95,0,45.93,0,0.85,0,0,0,0,0,3.93,0,0,20.15,0
 60-70,0,0,0,0,0.88,0,11.45,0,14.44,0,0,0,0,0,0,0,3.04,1.08,19.8,0,0,0,0,0,0,0,11.15,0,0,103.74,0
 72-82,0,0,0,0,0,0,5.67,0,0,0,0,0.66,0,0,0,3.43,2.97,0.76,17.48,0,0,0.8,0,0.93,0,0,0,0,0,284.22,3.91
 84-94,0,0,1.62,0,0,0,29.66,0.58,11.84,0.59,0,0,0,0,0,0,1.55,0,31.51,0,0,0,0,2.91,0,0,5.67,0,2.11,261.54,0
 96-106,0,0,0,0,2.79,0.62,11.61,0,3.56,0,0,0.88,0.64,1.32,1.04,0,2.07,0,18.71,0,0,0,0,0,0,2.63,0,2.21,0,692.11,0
108-118,0.45,0,0,0,0,0,7.19,0.52,1.1,0,0,0.49,2.82,0.84,0.81,0,6.22,0.48,22.25,0,0,0,0,1.6,0,3.16,4.05,3.03,0,573.53,2.16
120,0,0,0,0,0,0,0,0,4.03,4.66,0,7.73,0,0,0,3.89,6.21,0,0,0,0,0,0,0,0,0,0,0,0,619,0
