stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,783.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0
  5-6,13.42,217.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,20.08,0,0,7.13,0,3.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.36,34.67,0,0,24.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.44,64.6,4.19,0,0.81,0,0,0,0,1.33,0,0,1.15,0,0,0,0,7.74,0,0,8.72,16.48,5.38,1.57,5.56,0,0,1.02,5.13,0,2.26,16.76,0,0,3.92,0,1.01
 24-34,0,0,0,0,30.66,0,0,0,0,4.11,1.15,3.63,0,1.56,0,0,0,1.34,0,0,25.23,2.9,0,17.33,147.66,3.69,5.72,0.69,0,0,5.7,1.02,0.79,2.07,37.38,0,0,12.97,0,2.96
 36-46,0,0,0,0,10.77,0,0,10.58,0,2.42,2.3,10.2,0,0,0,0,4.15,0.65,0,3.94,55.01,0,1.14,14.54,352.79,1.69,4.55,0,0,0,11.14,0,0,0,94.83,0,0,1.4,0,0
 48-58,0,0,0,0,11.52,0,0,61.37,0,0.78,6.07,26.41,0,0.37,0.87,0,3.3,0.45,0,0,80.49,2.22,2.1,7.34,578.43,1.84,0.39,1.97,0,0,2.61,0,0,0,89.89,0,0,4.57,0,9
 60-70,0,0,0,0,35.82,0,0,121.35,0,2.29,0.76,35.78,0,0,1.93,0,0,3.4,1.78,0,88.45,0.63,1.7,6.15,623.94,5.48,0.74,0.9,0,0,18.19,0,0,0,108.07,0,1.36,20.55,0,0
 72-82,0,0,0.61,0,16.01,0,0,137.95,1.57,2.58,3.25,36.78,3,3.24,0,0,0.67,4.23,0,0,101.59,0.66,0,5.37,527.81,0,5.17,0.71,0,0,1.78,0,0,0,45.06,0,1.57,5.4,2.04,5.86
 84-94,0,0,0,0,25.35,0,0,83.69,0,5.43,3.28,45.15,2.8,0,3.81,1.11,0,4.51,0,1.11,117.6,0.61,2.81,4.33,396.05,2.4,3.24,2.42,0,0,12.64,0,0,0,44.46,2.53,3.4,2.87,0,15.5
 96-106,0,0,2.46,0,17.48,3.87,0,92.5,0,3.45,9.17,44.21,2.04,1.74,2.69,0.78,0,0,0.6,0,87.61,1.9,4.48,4.52,276.55,3.28,0,0.57,0,0.87,16.61,0,0,0,22.01,3.1,1.91,6.5,1.47,10.12
108-118,0,0,0,0.59,23.85,0,0.55,61.7,0,4.81,0.57,13.97,1.21,0.99,2.33,0,0.61,1.8,0.72,0,71.12,2.3,7.11,5.49,389.3,5.69,3.07,0.48,0,6.4,10.08,0,0,0,15.18,2.44,1.37,2.54,3.24,0
120,0,0,2.94,0,15.79,0,0,77.85,0,14.97,0,22.08,11.95,0,2.34,0,2.23,1.11,0,0,97.11,3.31,0,3.51,580.85,0,12.13,1.34,0,19.05,6.17,0,3.24,0,21.5,6.78,0,17.91,0,0
