stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.77,1009.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.09,0,0,0,0,0,0,0,0,0,0
  5-6,87.19,583.42,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.34,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0
  7-9,15.65,14.68,36.1,0,0,0,87.57,0,0,0,0,28.56,0,0,0,0,0,0,0,0,0,0,0,670.16,24.06,0,0,253.08,0,17,0,0,0,0,0,0,0,0,0
 10-12,0,51.46,42.1,0,5.46,0,77.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027.9,10.92,0,0,241.34,0,14.65,0,71.28,0,0,0,0,0,0,0
 14-21,0,0,1.12,21.77,3.7,0,20.01,0,0,22.03,2.48,8.41,0,0,0,0,0,0,0,30.92,0,0,20.73,435.31,8.15,2.14,1.04,13.27,16.02,0,24.64,0,1.91,26.12,111.82,0,5.03,0,0
 24-34,0,0,3.48,5.65,4.38,0,96.11,0,0,8.69,0,0.74,1.13,0.6,3.74,0,8.77,0,0,69.73,0.76,0,25.15,738.53,7.16,2.72,11.33,0,18.24,0,0,6.05,0,1.32,102.38,0,18.34,0,0.6
 36-46,0,0,0,16.92,0,0,157.47,0,0,9.41,0.58,0,0,0,0.78,0,0.77,1.98,0,29.41,0,1.37,12.56,401.14,0,3.27,0,0,13.13,0,0,0,0,0,80.99,0,5.35,0,0
 48-58,0,0,0,6.2,0.69,0,139.33,5.52,0.46,10.05,1.92,0,0.69,0,0,0,2.63,0,1.21,39.16,0.42,2.08,11.12,183.34,2.23,0.48,1.53,0,6.03,0,0,0,0,0,29.21,0,5.57,0,6.64
 60-70,0,0,0,15.04,3.41,0,90.03,1.5,0,26.35,1.85,0,0,0.6,0,0,2.2,0,0,93.45,0,3.32,2.34,138.04,0,5.39,2.58,0,1.71,0,0,0.58,1.38,0,10.87,0,1.79,0,0
 72-82,0,0,0,9.04,2.91,0,35.22,0,0.59,46.5,0,0,1.84,0.67,0.93,0,0.91,0.79,0,36.88,0,2.59,5.12,81.92,2.81,0,0,0,3.12,0,0,0.5,0,0,5.3,0,2.61,0,2
 84-94,0,0,0,4.36,5.78,0,34.32,0,2.78,7.95,3.41,0,0,1.91,0.82,2.32,0,0,1.11,35.61,0,11.27,15.73,97.1,0.94,0.97,3.34,0,4.22,0,0,1.49,0,0,2.92,3.43,4.22,1.5,0
 96-106,0,0,0,0.77,9.04,0,30.29,1.35,11.59,15.43,3.03,0,0.97,2.93,0.77,1.88,0,2.1,0,42.5,1.05,0.94,4.27,49.72,1.7,0.68,1.36,0,18.93,0,0,0.81,0,0,5.55,0,6.51,0.91,0
108-118,0,0,0,16.8,3.78,0.55,35.68,0,2.02,10.41,2.12,0,0,1.12,0.46,0,1.96,5.85,0,46.86,0,0.94,6.47,99.33,0,0.95,6.21,0,13.32,0,0,0.63,0,0,0,0.71,3.71,0,0.41
120,0,0,0,4.23,1.68,0,79.62,0,0,9.88,0,0,0,6.19,0,0,0,3.21,0,45.3,0,0,11.32,90.54,1.4,0,4.76,0,0,0,0,0,0,0,0,1.84,2.42,0,0
