stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,15.67,48.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,3.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0.86,1.25,0,0,1.25,0,0,0,0,2.21,0.95,8.63,0,0,0,0,0.87,0,4.41,4.37,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.61,6.85,1.18,0.98,0.61,0,0,0,1.27,11.2,0,0
 36-46,0,0,0,0,0,2.16,0,0,0,0,0,0,1.12,0.73,2.8,0,0,0,1.62,0,0,0,2.41,0,0
 48-58,0,0,0,0,0,10.39,0,0,0,0.49,0,0,0,0,5.84,0,0,0,0,0,5.4,0,0.81,0,0
 60-70,0,0,0,0,0,30.71,0,0,0.72,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.5,0,0,70.05,0,2.49,0,0,0,8.68,10.68,0,21.55,0,0,3.28,0,0,0,0,0,1.44,0
 84-94,0,0,2.46,0,2.35,52.52,0,0,0.92,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,17.08,0,5.78,0,0,0,0,1.37,1.06,21.94,0,0.56,0,0,0,0,0,2.51,1.61,0
108-118,0,0,0.41,0,0.61,34.8,0,13.56,1.97,0,0,0,0,0,26.28,0,0,0,0,0,0,0,0,2.59,2.33
120,0,0,0,0,0,18.48,1.06,14.22,0,0,2.98,0,2.22,0,29.86,0,0,0,0,0,0,0,0,6.85,0
