stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,81.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0
 10-12,4.29,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.79,5.18,0,0,4.59,4.52,0,0,0,0,0,0,0
 14-21,0,0,1.44,3.11,1.06,1.01,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,44.49,0,0,2.18,0,0,1.11,26.96,0,0,0,0,0
 24-34,0,0,0,2.16,0,2.15,0,0,16.21,1.19,0,0,0,0,0,0,0,0,0,0,0,232.26,0,17.47,0,0,0,4.74,43.67,0,0,0,0,0
 36-46,0,0,0,0,0,10.87,0,0,16.08,0,0,0,0,0,0,0,0,0.79,0,0,0,437.56,0,15.26,0,0,1.87,0.78,89.83,0,0,0,0,0
 48-58,0,0,0,0.88,0,36.92,0,0,33.87,0,0,0,0,0,0,0,0,0,0,0,0,689.09,0,8.05,2.91,0,1.25,0,83.05,0,0,0,0,0.44
 60-70,0,0,0,1.15,0,56.03,0,0.9,27.48,0.64,0,0,0.92,8.02,0,5.89,0.73,7.31,0,0,0,1068.61,0,8.98,5.81,0,4.43,3.81,112.01,0,0,0,0,0
 72-82,0,0,0,7.58,0.64,154.69,2.28,0,65.39,2.24,0,0,0,0,0,0,0,30.7,0,8.18,1.96,1219.12,0,27.46,4.69,0,0,0,74.49,3.19,0,0,0,14.33
 84-94,0,1.26,0,3.35,3.86,141.1,0,1.85,57.1,0.68,1.27,1.94,0,0.67,1.59,0,0,26.67,0,0.72,0,812.59,0,22.83,0,0,6.68,0,43.4,3.78,1.91,4.05,0,0
 96-106,0,0.99,0,5.06,4.01,102.37,0,0,64.18,0,0,0,0,0,1.33,0,0,25.16,3.31,4.8,1.31,719.46,0,12.07,0.71,0,4.69,0.57,45.93,0.73,0,0.73,2.91,10.46
108-118,0,0,0,5.84,1.01,66.29,0,3.36,67.89,0.47,0,1.19,0,0,0,1.91,0,23.16,0,0,0,1080.94,0,22.17,1.55,0,0,1.29,26.97,1.33,0.5,0,1.13,0
120,0,0,0,1.56,0,120.36,0,6.63,36.52,0,0,6.76,0,0,0,0,0,42.85,0,0,3.45,1734.66,0,50.54,0,0,0,4.24,32.09,1.99,0,0,0,0
