stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,16.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,0,0,13.92,0,0,0,1.91,7.09,14.31,0,18.15,1.29
 24-34,0,0,0,0,0,0,0,0,3.59,0,9.6,102.6,0,0,1.62,0,0,25.47,1.29,80.59,7.26
 36-46,0,0.96,0,0,9.96,0,0,0,18.54,0,2.01,67.09,0,1.3,0,0,0.58,28.68,0,53.7,10.66
 48-58,0,0,0,4.74,11.44,1.7,0,0,19.51,0.52,0,44.84,0.52,0,0,0,0,11.36,0,16.69,10.81
 60-70,0,0,0,1.99,7.28,0,0,8.92,10.82,0.62,2.15,28.44,0,0,0,0,0,9.14,0,1.6,5.04
 72-82,0,0,0,34.68,9.45,5.13,0,0,13.97,0,4.16,36.31,0,0,1.31,0,0,10.26,0,1.29,0.63
 84-94,0,0,0,18.12,22.95,1.82,0,0,5.27,0,2.07,31.23,0,0,2.35,0,0,2.88,0,0,2.97
 96-106,0,1.27,5.42,22.03,16.53,2.25,0,0,2.07,0,5.05,51.03,0,0,0,0,0,10.51,0,0,0.64
108-118,0,6.99,0,28.58,8.14,0.86,0,1.47,3.92,0,6.95,42.27,0.77,0.61,0,0,0,11.58,0,0,0
120,0,0,0,0,16.64,0,2.29,0,2.18,0,0,100.49,0,0,0,0,0,7.34,0,0,0
