stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.29,711.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0
  5-6,20.94,719.72,0,0,0,0,0,0,0,0,0,0,33.7,0,0,0,0,0,0,0,0,0,36.3,0,0,0,0,16.91,0,0,0,0,0,0,0,0
  7-9,51.54,23.43,0,48.11,0,0,60.3,0,0,0,0,0,13.22,0,0,0,0,0,0,0,0,0,360.72,14.85,0,0,137.57,0,0,0,0,0,0,0,0,0
 10-12,0,9.31,0,6.72,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.99,0,0,0,71.78,0,5.33,0,28.94,0,0,0,0,0
 14-21,0,0,0,0,6.79,0,2.62,0,0,0,2.07,0,0,0,0,0,0,0,3.54,0,0,2.5,61.19,0,0,0,0.88,1.61,0,6.68,3.17,1.89,22.14,0,0,0
 24-34,0,0,0,0,4.92,1.69,8.3,0,0,0,2.13,0,0,2.24,0.69,0.68,0,0,9.33,0,0,0.92,123.45,0,1.23,2.02,0,3.63,0,0,0,3.33,24.31,3.47,0,1.93
 36-46,0,0,0,0,0,0,23.11,0,0,0.77,4.19,0,0,0.93,0,0,0,0,15.46,0,0,0,175.06,0,2.15,0,0,0.78,0,0,0,0,35.32,3.92,0,0
 48-58,0,0,0,0,0.96,0.69,48.96,0,0,0,12.03,0,0,0,0,0,0,0,11.69,0,0.41,7.6,173.45,0,0,0.69,0,2.9,0,0,0,0,24.19,0,0,0
 60-70,0,0,0,0,0,0,59.94,0,0,0.96,2.1,0,0,0.69,0,0,0,0,13.32,0,0,1.59,124.07,0,0,0,0,0,0,0,0,0,10.51,0.7,0,0
 72-82,0,0,0,0,8.23,1.96,56.22,0,0,0.57,17.27,0.67,0,0,0,0,0.6,0,17.88,0,0.54,0,85.39,0,0,0,0,0.58,0,0,0.49,0,7.75,2.81,0.53,0
 84-94,0,0,1.16,0,1.18,2.67,40.33,0.7,0.67,0.62,1.5,1.6,0,0.97,0,0,0,0,15.14,0,0,0,54.74,0,0,0,0,3.61,0,0,0,0,12.81,0,0,0
 96-106,0,0,0,0,0,5.33,2.76,1.45,0,6.44,4.83,0,0,0,0,0.59,1.32,0.61,7.9,0,1.14,0,45.16,0,0,0.65,0,2.86,0,0,0,0,1.34,3.06,0,0
108-118,0,0,0,0,2.25,1.49,21.98,0,0,1.78,3.18,1.74,0,0,1.22,0.45,0,0.76,13.33,0.54,0,0.52,90.05,0,1.77,0,0,6.14,0,0,0.75,0,4.66,0,0.65,1.78
120,0,0,0,0,8.48,0,27.92,0,0,0,19,1.66,0,0,0,0,0,0,5.61,0,0,0,75.55,0,0,13.66,0,17.69,0,0,0,0,0,0,0,0
