stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1059.48,0,0,0,0,0,0,0,1.21,2.22,0,0,0,0,0,0,0,32.69,3.68,0,1.7,17.29,2.39,0,0.99,0,0,0,0,0,0.82,3.2,0,0,0,0,0
 24-34,0,0,0,3.65,2904.54,8.96,0,13.64,0,39.02,0.61,0,0.59,1.46,23.02,0,0,0,0.66,0,0,456.82,55.8,4.87,97.2,179.9,87.5,1.57,2.94,0,6.41,5.09,1.09,0,0.74,19.33,0,0,9.32,0,0
 36-46,0,0,0,0,3290.49,0,0,20.5,0,110.66,47.01,2.88,0,0,61.1,0,27.68,0,2.38,0,0.71,2539.33,34.87,27.68,246.86,234.39,108.18,3.78,3.35,0,2.87,12.71,7.91,0.58,0,50.67,0,3.57,1.92,0,0
 48-58,0,0,0,0,3197.97,3.51,0,120.11,0,210.67,133.06,15.65,0,0.65,37.63,9.37,3.66,3.3,6.46,0.63,9.55,5471.21,16.4,37.1,475.47,492.47,81.13,0.9,10.56,0,2.42,5.04,0,0,0,57.13,0,3.98,6.74,0,16.91
 60-70,0,0,0,0,2009.9,1.34,0,96.92,0,162.43,158.92,6.1,3.79,0,10.48,27.4,0,0,6.5,19.13,0,8380.04,30.44,25.08,311.19,236.42,15.29,0,31.26,0,2.17,19.31,1.36,0,0,28.26,0,21.48,9,3.12,6.89
 72-82,0,0,0.76,0,1655.89,5.61,0,372.53,1.33,119.25,210.31,23.3,2.41,0,19.65,51.43,0,11.86,10.1,0,13.06,12413.46,35.92,219.47,530.56,313.05,10.23,0.54,27.29,0,3.01,13.33,0,0.54,0,24.85,4.94,52.97,5.06,22.57,0
 84-94,0,0,0,0,2324.77,8.32,1.56,454.79,2.62,208.68,119.99,21.98,6.39,0,12.57,41.86,3.83,5.11,10.26,0.67,0,8970.83,15.13,123.68,319.54,191.97,1.7,3.98,41.91,0,0.6,5.38,1.01,0,0,12.5,2.16,46.98,0,29.97,0.64
 96-106,0,0,0,0,2102.92,30.1,4.27,318.7,0,177.82,117.3,58.09,9.1,0,30.73,57.79,8.48,0,2.15,16.75,0,9085.88,30.29,118.13,317.76,367.56,1.49,7.2,36.8,0,9.42,18.9,4.16,0,0,3.39,1.53,85.77,4.05,54.06,0
108-118,0,0,0,0,1914.89,5.97,6.33,150.22,0.58,172.86,64.5,17.66,7.94,0,4.71,26.56,1.82,2.23,2.23,2.28,0.72,9396.81,7.57,97.64,255.13,433.34,2.37,0.42,51.02,0,2.4,7.74,7.11,0,0,5.94,3.18,95.45,4.27,22.96,0
120,0,0,0,0,1026.56,9.34,0,142.03,0,70.21,23.15,19.44,0,0,42.21,31.7,0,0,4.34,1.84,0,6750.61,9.38,70.8,117.71,273.26,2.11,2.92,49.61,0,2.54,6.23,0,0,0,2.39,5.73,139.24,0,53.39,8.94
