stage,gut,ionocyte,neural,periderm,spinal_cord
  7-9,0,0,4.24,0,0
 24-34,0.69,0,0,2.5,0
 36-46,0,0,0,6.24,0.75
 48-58,0,0,0,1.51,0
 72-82,0,0,1.27,1.21,0
 84-94,0,0.57,0,6.87,0
 96-106,0,0,0,13.85,0
108-118,0,0,0,1.82,0
120,0,0,0,4.96,0
