stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.43,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.61,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81,0,0,0,8.75,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0,0,7.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,32.22,0,0,0,0,0,0,0,17.18,0,0,0,0
 24-34,0,0,0,1.04,2.49,0,0,1.02,0,0,0,0,0,0,6.04,0,0,651.19,0,0,0,0,0,9.96,0,77.16,0,5.65,0,0
 36-46,0,0,0,0,6.37,0,0.57,3.57,0.57,0,0,0,0,0,8.35,0,1.47,1406.49,2.15,0.56,0,0,0,11.62,0,138.5,0,0.92,0,0
 48-58,0,0,0.86,0,86,0,2.98,24.05,0,0,6.68,21.17,0.41,3.95,9.58,4.13,3.43,2036.8,0,0,1.22,0,0.47,6.3,0,206.54,0,0.49,0,0.4
 60-70,0,0,3.19,0,199.31,1.7,0,9.51,0,0,0,0,0,0,9.96,6.11,0,2627.15,0,0,0,0,0,24.88,0,257.15,0.94,0,0,7.51
 72-82,0,0,3.59,1.36,181.77,2.07,0,11.49,0,0,0,0,0,0,10.67,0,0,1537.18,0,0.97,0,0,0,4.23,0,159.41,0,11,0,0
 84-94,0,0,5.92,4.38,137.59,0,1.18,4.66,1.92,0.58,0,0,0,0,19.94,3.09,0,927.04,0,0,2.77,0,0,6.1,0.66,90.44,0,0,2.97,0
 96-106,0,0,0.64,2.58,72.51,3.07,0,6.78,0,1.38,2.07,0.61,0.63,0,11.76,0,0,639.59,0,0,0,0,0,0.6,0,28.51,0,2.72,0,0
108-118,0,0,8.27,0.6,79.11,0,0,3.98,0,0.87,0.72,0,0,0,12.9,0,0,710.89,0,0,0,0,0,3.11,0,28.06,0.56,0,0,0
120,0,0,11.51,0,135.48,0,0,3.38,0,0,5.5,0,0,0,15.3,0,0,1095.56,0,0,0,0,0,1.07,2.43,2.1,0,0,0,0
