stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.23,59.65,218.21,121.82,0,130.24,0,0,0,32.89,27.48,0,5.96,0,0,0,0,35.58,14.33,192.03,0,0,82.57,1430.43,15.67,1.31,16.5,43.85,0,1.83,2.3,158.2,6.35,3.85,136.95,349.4,0,0,19.1,0,0
 24-34,0.9,16.05,98.41,10.12,0,95.29,0,1.76,0,17.68,5.9,2.49,13.17,0,7.51,1.14,0.63,32.57,23.7,211.66,0,1.66,69.08,1099.43,1.41,3.79,10.55,0,0,19.63,0,2,3.77,0,10.24,189.88,0,0,77.6,0,0.69
 36-46,0,0.87,41.46,5.39,0,72.1,0,16.9,2.69,33.38,3.98,0,18.47,0,0,1.73,2.09,30.52,12.45,187.24,7.26,3.96,43.32,784.29,0,1.94,1.89,0,0,30.74,0,0,0,0,0,172.34,0,0,34.73,0,0
 48-58,0,0,44.84,0,0,58.8,0,11.4,9.85,28.28,0,0.56,18.41,0.38,0,0.4,2.1,0,6.6,139.92,0.82,3.92,24.82,219.11,0,0,0.81,0,0,79.89,0,0,0,0,0,47.34,0,1.39,19.21,0.72,0
 60-70,0.65,0,36.54,0.6,0,78.63,0,13.86,9.73,36.88,0.75,0,21.85,9.23,2.01,0.57,0,18.44,2.17,176.24,0.58,18.53,22.25,125.54,0,1.4,2.54,0,4.1,253.24,0,0,0,0,0,29.92,0,10.64,15.28,1.46,0
 72-82,0,0,28.77,2.83,0,31.36,0,10.21,15.72,25.29,0.94,1.66,24.77,0.53,0.98,10.19,0,13.42,4.29,174.42,4.01,11.16,8.5,106.89,0,0,3.01,0,15.7,281.41,0,0,0,0,0,15.92,0,9,38.41,10.52,0
 84-94,0,0,91.07,8.7,0,33.27,0,37.16,18.08,51.7,3.19,0,32.08,3.91,9.14,10.4,0,3.9,20.64,164.64,3.66,12.1,16.43,87.83,0,8.68,2.17,0,25.94,972.81,0,0,0.62,0,0,24.52,0,5.76,32.94,3.77,0
 96-106,1.68,0,89.73,9.93,0,42.66,0.64,29.92,23.93,24.19,5.54,0,24.43,4.5,12.69,2.32,1.49,28.73,8.88,164.7,13.1,26.2,17.04,82.22,7.93,2.59,8.99,0,25.66,749.59,0,0,0,0,0,9.02,0,10.17,43.4,22.85,0
108-118,0,0,94.87,1.33,0.56,38.83,0,35.83,15.33,23.61,6.59,0,18.76,2.31,26.86,0.92,0.77,3.62,19.91,191.82,19.5,8.61,17.66,127.69,0,1.56,7.97,0,34.24,1034.22,0,0,0,0,0,8.84,0,5.43,49.62,15.23,0
120,0,0,92.69,10.93,0,28.22,0,21.03,16.91,27.11,1.88,0,30.25,4.47,12.03,2.62,0,5.87,9.38,185.54,2.21,29.79,3.47,72.33,0,3.22,19.11,10.96,36.33,814.57,0,0,0,0,0,0,2.39,20.97,63.3,3.95,0
