stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83,0,0,3.25,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.97,195.88,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,5.74,0,2.53,0,0,166.28,0,0
 24-34,0,0,31.64,2.67,0,0,0,0,0,16.83,0.76,0,0,0,0,2.01,0,0,2.85,125.78,1.13,0.65,0,3.61,0,0,1.9,24.51,0,0,580.16,0,0
 36-46,0,0,0,4.75,3.98,0,0,0,0,10.86,0,0,0,0,0,8.82,0,0,0,386.12,0,0,0,0.68,0,0,0,53.14,0,0,406.75,0,0
 48-58,0,0.88,0,30.15,4.72,0,12.56,0,0,5.09,6.56,0,0,4.34,0,6.38,0.71,0,0,449.08,0,1.14,0,1.82,0,0,0,54.6,0,0,340.86,0,1.43
 60-70,0,0.71,1.34,47.72,0,0,7.55,0,0,10.68,0,0.71,0,0,1.73,14.12,0,1.71,1.07,1073.93,1.51,6.13,0,1.1,0,0,0,85.2,0,0,263.65,0,8.46
 72-82,0,0.65,21.44,157.26,4.16,0,24.8,0.56,0,5.64,0,0,4.27,2.78,0,20.02,2.45,0,9.35,1253.5,0,1.79,0,0,0,0,0,101.67,0,0.56,589.57,0,2.33
 84-94,0,9.75,6.59,209.38,0,2.32,17.37,0,1.95,4.73,1.19,0,0,0.65,0,6.43,0,5.51,2.35,969.02,0,1.98,0,1.09,0,0,0,73.61,0,1.57,526.68,0,0
 96-106,0,3.18,13.62,224.79,2.21,2.09,22.5,1.21,0,14.45,1.05,0,1.05,4.54,0.63,25.62,0,4.02,7.48,1045.31,1.76,0.65,0,0,1.71,0,0,39.15,2.22,0,531.14,1.98,1.22
108-118,0.57,10.36,10.5,252.62,0,0.96,23.52,1.4,0,6.01,1.95,0,0,4.76,8.46,22.04,0,3.14,1.81,1317.13,1.23,0.78,0,0.47,2.75,0,0,26.85,0,0,460.72,0,2.22
120,0,30.6,14.56,385.28,20.01,3.27,73.58,4.66,0,4.47,4.22,0,0,9.92,9.07,18.19,0,2.35,0,2555.45,0,0,0,2.18,0,1.21,0,48.85,0,0,625.15,0,0
