stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.89,98.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.45,34.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,30.38,6.27,0,0,10.61,0,0,0,0,0,0,0,0,0
 10-12,0,3.65,6.57,0,0,3.12,0,0,0,0,0,0,0,0,0,66.87,14,0,0,36.65,0,0,0,3.64,0,0,0,0,0
 14-21,0,0,0,7.16,0.93,0,0,0,0.83,0,0,0,1.16,0,0.82,18.02,1.61,1.44,2.64,0,0,0.81,2.59,0,0.98,6.01,0,0,0
 24-34,0,0,0,1.92,0.81,5.73,0,0.71,0,1.22,0.91,0,4.75,0,3.47,55.87,0,8.73,6.53,0,0,0.75,0,4.06,0.62,10.04,0,0,0
 36-46,0,0,0,1.62,0,11.13,1.56,0,3.4,0,0,0.66,1.06,0,0,97.29,1.96,2.36,3.7,0,0,0.78,0,1.38,0,5.25,0,0.75,0
 48-58,0,0,0,3.81,0,10.36,0,5.07,0.63,0.43,3.38,0,8.83,0,0,55.15,0,4.23,18.71,0,0,0.4,0,0,0,9.55,0,0.42,0.55
 60-70,0,0,0,0,0,14.13,0,0,3.45,0,9,0,16.93,0,1.58,37.94,0,2.98,32.19,0,0,0,0,0.59,0,16.12,0,0.57,0
 72-82,0,0,0,0,0,13.29,0,0,5.29,0.63,9.89,0,20.88,1.52,0.54,49.32,0,5.82,30.16,0,0,2.71,0,0.58,0,10.1,1.57,1.38,0
 84-94,0,0,0,2.59,0,6.5,0,0,6.47,1.52,10.55,0,3.29,0,0,15.38,0,6.63,30.03,0,0,1.03,0,4.41,0,6.97,0,0,0
 96-106,0,0,0,0.78,0,14.18,0,0,2.4,0.94,25.15,0,15.25,0,0.76,23.22,0,20.05,59.52,0,0,2.22,0,2.71,0,0,0,0,0
108-118,0,0,0,2.2,0.54,4.57,0,0,1.94,0,11.69,0,1.64,0,0.49,26.57,0,3.52,61.09,0,1.32,1.36,0,2.85,0,3.91,0,2.28,3.96
120,0,0,0,5.7,3.12,5.24,0,1.18,0,2.8,40.62,0,12.56,0,0,77.36,0,4.09,107.27,0,0,3.29,0,7.52,0,0,0,2.1,0
