stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.18,893.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.94,0,0,0,0,0,0,0,0,0
  5-6,131.38,8904.06,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,26.36,17.23,0,0,6.9,0,127.38,0,0,0,0,0,0,0,0,0
  7-9,9.85,422.45,0,72.2,0,0,0,2762.05,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,10225.21,11.82,0,0,290.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.02,0,7.24,0,0,0,808.23,0,0,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,2676.83,4.22,0,0,91.99,0,0,0,14.07,0,0,5.09,0,0,0,0
 14-21,0,0,1.05,3.68,13.4,2.82,0,7.64,0,0.87,0,3.77,0,0,0,0,0.9,0,0,0,0,6,0,0,393.18,1.93,4.07,8.1,0,0,0,7.94,0,0,9.95,323.82,0,2.49,0,0
 24-34,0,0,0,0,4.36,0,0,5.6,0,1.1,0,2.01,0,0,0,0,0,0,0,0,0,6.41,0,3.04,303.52,0,3.18,4.41,0,0,2.52,0,0,1.15,1.17,101.4,0,5.08,0,0
 36-46,0,0,0,0,0.66,0,0,20.67,0,0,0,1.95,0,0,0,0,0,0,0,0,0,10.69,0.88,0.98,195.11,0,11.14,0,0,0,8.33,0,0,0,0.83,64.02,0,0,0,0.7
 48-58,0,0,0,0,0.49,0,0,57.45,0,1.4,2.58,12.04,0,0,1.79,0,0,3.15,0,0,0,15.56,0,2.73,192.59,0,8.21,0,0,0,4.57,0,0,0,0,38.58,0,0,0,0
 60-70,0,0,0,0,0.83,0,0,78.01,3.52,0,1.64,2.74,3.54,0,0,0,0,2.89,0.82,0,0,14.56,0,0,119.32,0,7.86,3.23,0,0,2.8,0,0,0,0,10.49,0,1.82,0,1.56
 72-82,0,0,0,0,0.67,0,0,52.45,0,0,2.21,4.14,0,0,0,0,0,0,0,0,0,14.04,0,1.53,56.7,0,4.06,1.1,0,0,0,0,0.61,0,0,9.06,0,0,0,2.1
 84-94,0,0,0,0,0,0,0,42.54,0,1.21,0,15.07,0,0.86,0.7,2.32,0,0,0,0,2.53,10.97,0,0.57,62.8,0,5.82,0.64,0,0,0.97,0,0,0,0,0,0,0.57,0,0
 96-106,0,0,0,0,0,0,0,32.41,0,0.62,0,7.13,4.16,0,0,1.01,0,0,0,0,1.06,33.75,0,2.91,17.94,0,16.03,0.76,0,0,3.31,0,0.69,0,0,2.1,1.82,0,0.68,1.91
108-118,0,0,0,0,3.05,0.85,8.46,35.34,0,0,0.8,1.13,0,0,0,0,0,0,0,0,0.78,11.67,0,1.64,69.56,0,8.74,1.73,0,0,6.5,0,0,0,0,0,0,0,0,0.41
120,0,0,0,0,0,1.8,0,10.03,0,0,0,2.7,0,0,0,10.63,0,0,0,2.7,0,34.16,0,0,100.14,0,3.86,0,0,8.63,0,0,1.56,0,0,0,0,0,0,0
