stage,axial,blastomeres,epidermis,glial,gut,hatching_gland,immune,neural,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  5-6,10.14,28.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,11.31,8.04,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.01,0,0,1.11,0,0,0
 24-34,0,0,0,0,0,0,0,0.83,0,0.79,0,0.9,0,0
 36-46,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
 72-82,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0.64
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0
 96-106,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0
