stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,158.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,256.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,7.03,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.81,0,23.72,0,0,0,0,0,0,0,0
 10-12,0,7.14,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.55,0,4.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1.2,0.9,0,0,0.92,0,0,0,0,0,0,1.93,0,0,0.83,24.05,0,1.09,0,4.24,0,0,3.24,3.4,0,0
 24-34,0,0,0,0.6,0,8.71,0,0.61,4.09,0,0,1.72,0,0,0,6.35,1.33,0,0.61,55.71,0,0,0,0,0,0,1.13,5.03,0,1.13
 36-46,0,0,0,6.02,0,5.98,2.53,0,2.03,0,0,0,12.16,0,0,8.07,8.51,0,0.72,59.23,0,0,9.93,0,0,0,0,9.55,0,0
 48-58,0,0,0,15.29,0,9.23,0,0.44,1.62,2.21,0.44,0,5.33,0,4.44,3.09,0,4.89,0.87,53.05,0,0,0,0,0,0,0,9.53,0,0
 60-70,0,0,0,2.3,0,27.91,0,0,10.47,0,0,0,0,0,0,1.21,2.55,0,0,51.15,0,0,0,0,0,1.41,0,1.22,1.06,0
 72-82,0,0,0,0,0,3.58,0,0,0.71,1.52,0,0,0,0,0,5.82,2.52,0,0,23.43,0.91,0,2.52,0,0,0,0,4.43,0,4.04
 84-94,0,0,0,1.65,0,7.7,0,0,0,0.67,0,0,0,0,0,0,3.24,0,0,4.68,0,0,0.69,0,1.04,0,0,0.64,0,0
 96-106,0,0,0,0,0,2.2,0,0,0.79,0,0,0,0,1.05,0,1.06,7.38,0,1.04,2.95,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.81,0.8,0.88,0,0,0.79,0,0,0,0,0,0,2.82,2.75,0,3.61,0,0,0,0.97,0,0,0,0,0,0,0
120,0,0,0,1.6,0,1.01,0,0,10.27,1.45,2.63,0,0,0,0,8.98,0,0,0,25.42,0,0,0,0,0,0,0,4.48,0,0
