stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.05,4.51,0,0,28.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.04,4.16,0,0,0,0,0,2.89,0,0,0,0.83,0,0,0,2.21,0,0,2.09,4.04,0,0,0,0.84,0,0,1.02,0.82,1.92,3.61,0,0,1.12,0,0
 24-34,0,0.65,0,2.6,0,0,0,0,4.89,0.97,0.68,0.67,1.48,5.28,0,0,0,0.95,11.31,0.76,0,1.6,25.53,0,0,0.98,0,0,2.48,0,0.65,0.66,7.61,0,0,14.18,0,0
 36-46,0,0,0,2.1,0,0,0,0,0,0.73,0,0,0,4.64,0.78,0,0,0,29.36,0,0,4.34,22.86,0.62,0,0,0,2.1,2.62,0,0.65,0,2.13,0,0,14.59,0,0
 48-58,0,0,0,15.7,0,0,1.61,0,0.92,0.7,0.46,0.93,0.49,5.44,0.44,0,0.46,0,28.29,0.56,1.49,6.48,16.51,0.71,1.33,0,0,0,6.72,0,0,0,1.31,0,0,15.24,0,0
 60-70,0,0,0,26.65,0,0,1.82,0,9.38,0,7.8,13.95,0.93,14.22,0,0,0.73,12.77,45.88,0,0,3.3,8.89,0,0,0.94,0,0.71,21.26,0,4.14,0,0.96,0,0,14.69,1.13,0
 72-82,0,0.69,0,5.22,1.5,0,9.74,0,2.66,7.89,20.24,74.27,0,8.26,0,0,0,76.82,97.33,2.25,4.54,11.19,32.91,0,1.49,3.3,0,2.07,6.7,0,0.49,0,3.86,0,3.02,22.09,1.75,0.55
 84-94,0,0,0,14.64,4.97,0,21.82,0,2.74,1.19,5.69,142.94,0,16.25,0.68,1.03,1.91,210.59,71.83,0.57,3.38,6.25,38.89,0,13.84,2.81,0,0,17.67,0,3.77,0,0,0,5.72,11.09,4.83,1.49
 96-106,0,2.71,0,13.97,8.53,0.63,57.05,0,0.62,7.94,19.5,295.84,0.96,19.81,0.81,0,1.4,742.89,93.14,1.07,15.44,6.35,156.65,2.03,6.17,3.02,0,4.35,21.82,0,3.41,0,9.22,1.67,1.04,38.34,7.39,3.5
108-118,0,0.85,0,21.78,12.39,0.64,11.55,0.69,5.07,0.74,20.89,358.05,0.8,19.96,0.46,3.52,1.19,1522.01,87.62,0,7.68,6.18,143.58,1.95,6.52,1.33,0,0.96,11.1,0,11.31,0,0.57,4.19,1.35,28.34,4.97,5.54
120,0,0,1.66,22.92,1.64,0,31.15,0,2.14,2.59,23.03,232.29,0,10.07,0,0,0,858.97,109.29,3.31,15.72,6.02,153.84,2.24,7.21,0,0,12.99,7.77,0,1.2,0,0,0,3.8,18.43,3.15,0
