stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,309.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0
  5-6,22.43,295.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,54.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.01,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0
 24-34,0,0,0,0.81,3.34,0,0,589.96,0,0,0,2.2,0,0,0,0,0,0,0,1.41,0,5.63,0,0,1.68,25.53,2.07,1.36,0,0,0,0.81,0,0,1.7,6.23,0,0,0.68,0,0
 36-46,0,0,0,0,1.56,0,0,1150.25,0,0,0,2.17,0,0,0,0,0,0,0,0,0,2.87,0,0,2.03,18.99,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1844.39,0,3.52,0,4.71,0,0,0,0,0,1.08,0,0,0,7.07,0,0,1.55,78.75,0.39,0.76,0,0,0,0.47,0,0,0,8.2,0,0,0,0,6.52
 60-70,0,0,0,0,3.77,1.62,0,3595,0,0,0,1.49,0,0,0,0,0,0,2.05,0.74,27.93,20.6,0,0.75,4.03,81.04,3.04,1.22,0,0,2.46,4.97,0,0,0,10.02,0,0,0,0,0
 72-82,0,0,4.03,0.56,4.39,7.52,1.16,3963.99,0,3.54,1.23,10.18,0.88,0,0.93,0.82,0.56,1.71,1.96,7.01,0,45,0,1.85,2.86,179.53,0,2.01,0.55,0,0,10.28,0,2.8,3.02,5.87,0,0.88,5.87,0.77,17.61
 84-94,0,0,1.23,0,12.06,49.25,0,13871.79,1.88,1.15,7.97,41.1,3.67,0.99,0,2.95,1.88,1.9,1.57,5.86,4.99,68.01,0,4.54,6.57,339.74,0,0,5.57,0,0,55.61,0,0.64,13.74,48.08,0,2.89,13.06,3.94,63.64
 96-106,0,0,2.9,0,30.47,92.58,9.83,14706.98,1.64,5.21,1.71,124.35,6.72,0,2.93,18.73,4.87,11.6,4.99,29.45,0,176.48,10.35,35.94,15.66,611.76,2.81,6.61,2.37,0,3.7,80.8,0,0,17.1,14.17,0.81,5.43,20.2,5.41,49.81
108-118,0,0,0.84,0,21.02,75.57,5.19,21192.04,11.55,4.47,11.99,91.06,13.41,0,0.52,13.62,3.79,17.01,3.74,23.39,13.94,192.22,3.6,10.77,13.68,564.72,4.04,6.99,13.8,0,12.98,57.02,0,0,3.63,25.96,2.66,0.54,9.66,7.45,50.09
120,0,0,0,0,28.23,11.67,3.69,6565.22,0,21.22,5.33,114.98,3.16,0,2.09,12.49,2.78,5.23,3.58,0,0,179.94,1.59,21.57,14.34,489.22,7.56,25.88,0,0,0,27.39,2.5,0,0,17.44,0,16.18,0,13.52,20.62
