stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord
  5-6,0,0,0,0,0,0,0,0,40.81,0,0
  7-9,0,0,0,0,0,0,11.76,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.36,0
 14-21,1.08,0,0,0,0,0.9,1.59,0,0,0,0.84
 24-34,0,0,0,2.67,0.93,0,1.47,0.77,0,0,0.99
 36-46,0,0,0,0,0,0.6,8.04,0,0,0,2.13
 48-58,0,0,0,0,0,0,7.64,0,0,0,1.06
 60-70,0,11.04,0,0,0,0,11.1,0,0,0,0
 72-82,0,4.47,0,0,0.82,0,19.38,0.69,0,0,0
 84-94,0,9.17,0,0,0,0,45.73,0,0,0,11
 96-106,0,1.56,1.94,0,0,0,13.34,0,0,0,0
108-118,0,6.18,0,0,0,0,35.2,0.52,0,0,0
120,0,0,2.42,0,0,0,39.87,0,0,0,5.26
