stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.75,11.96,1.44,3.38,0,0,0,0.92,0,0,0,0,0,0,0,0,0,4.54,0,0,7.15,123.29,2.63,0.93,0,0.87,0,0,0,6.64,2.11,2.42,30.26,0,0,0,0,0
 24-34,0.86,7.3,0,19.03,0,3.25,0,9.24,2.67,0,0,0.87,2.08,2.07,0,1.41,0,13.39,0,0,6.09,315.32,0,11.87,1.71,0,0,5.18,0,0,0,2.68,52.21,0,0,12.78,0,0
 36-46,0,0.58,0,52.05,0,0,0,10.57,1.33,0,0,0,1.01,0,0.68,0,0.87,8.75,0,0,3.17,285.57,0,2.94,3.07,0,0,13.02,0.81,0,0,0,38.97,0,0,0.61,0,0.7
 48-58,0,2.95,0.45,98.9,1.08,2.57,1.67,28.47,0,0,0,0,3.23,0.43,0,1.88,0,25.95,0,3.92,2.11,346.89,0,2.3,7.72,0,0,0.84,0,0,0,0,56.14,0,0,8.7,0,4.21
 60-70,0,8.63,0,129.25,0,1.21,1.06,25.56,0,0,1.47,0,0,0,0,0,2.27,40.54,1.43,0,7.47,243.97,0,2,2.35,0,0,2.88,0,0,0,0,36.31,0,0.98,5.43,0,0
 72-82,0,0,8.15,150.02,6.88,0,0.63,30.26,0,0,0.73,0,0,0,0.74,2.73,0,48.32,0,0.94,1.97,246.5,0,1.68,2.46,0,0,0.59,0,0,0,0,10.55,0.53,1.25,12.59,1.24,0
 84-94,0,2.7,1.85,80.85,0,0,0.94,15.1,0.72,0.64,0,0.74,0,0,0,0.57,0,26.9,0,0,2.34,162.1,0.66,0.71,12.7,0,1.59,3.35,0,0,0,0,41.74,1.21,0,0.95,3.33,0
 96-106,0,5.26,9.24,56.23,10.44,0.62,0,14.16,0.62,0,0,6.75,1.04,0,0.84,0,0,23.91,0,2.4,0.62,121.78,0.77,2.76,5.77,0,0,4.88,0,0,0,0,2.67,1.08,0,2.46,2.35,0
108-118,0,3.22,6.55,95.65,0,0,0,18.54,3.94,0,0,1.1,1.1,0,0.98,0,0,22.82,0,0,1.51,138.81,0,0.54,1.11,0,1.8,4.22,0,0,0,0,4.17,0,0,3.21,2.47,1.16
120,0,9.15,14.32,100.96,1.1,1.16,0,19.85,2.3,0,0,1.85,0,0,0,0,0,73.98,0,6.81,4.8,272.85,2.06,3.9,3.98,0,0,6.12,0,0,0,0,0,0,0,21.06,0,0
