stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,24.05,117.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.33,275.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.47,0,0,0,13.83,0,0,0,0,0,0
  7-9,4.14,6.43,0,4.32,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,91.21,0,0,0,3.96,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,5.62,0,0,11.79,0,0,0,0,0,0
 14-21,0,0,0,4.2,10,6.62,2.19,0,0,1.28,2.18,0,0,0,0,0,4.31,1.69,23.23,1.61,0,1.38,1.74,3.3,4.74,0.89,2.36,7.07,0
 24-34,0.88,0,0,0,3.28,0,1.7,0,0.7,0,0,0,0,0,0,0,2.24,1.57,20.89,0,0,0,0,3.74,0,0,0.73,6.74,0.65
 36-46,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,9.32,0.78,8.75,0,0,0,0,0.83,0,0,0,1.25,0
 48-58,0,0,0,0,0.44,0,14.56,0,0,0,0,0.55,0,0,0,0,2.64,1.83,19.5,1.29,0,0,0,1.24,0,0,0,2.27,0
 60-70,0,0,0,0,0.62,0,8.83,0,0,0,0,0,0,0,0,0,1.12,0,7.83,0,0,0,0,0.77,0,0,0,0,0
 72-82,0,0,0.71,0,0,0,9.6,0,0,1.36,0,0.51,0,0,0,0,3.67,0,7.2,4.07,0,0,0,0,0,0,0,0,0.6
 84-94,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,5.14,0,1.09,0,0,0,0,0,0,0,0,1.56,0
 96-106,0,0,0,0,0,0,3.07,0,0,0,0,0,1,0.81,0,0,6.85,0,0.82,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.92,0,4.27,0,0,0,0,0,0,0,2.78,0,1.08,0,3.91,0,0.86,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,1.34,0,0,8.4,0,0,0,0,2.01,0,0,0,0,0
