stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.67,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,97.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.29,0,0,0,0,0,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,11.67,18.74,0,0,34.11,11.28,0,0,0,0,0,0,0,0,0
 10-12,0,27.48,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.86,9.98,0,0,13.71,0,16.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,221.05,20.44,0,0,0,0,7.66,0,0,0,38.45,0,0,0,0,1043.24,0.95,0,9.63,229.03,7.02,0,0,0,41.35,0.89,0,0.81,33.27,0,0,2.08,0,0
 24-34,0,0,0,0,154.9,7.21,104.72,0,0,0.7,0,0,0,1.8,3.6,0,0.74,0,0.69,2002.97,0,0,5.58,2447.52,1.32,21.52,0,0,17.48,0.8,11.46,0,248.89,0,0,8.48,0,0.91
 36-46,0,0,3.44,0,43.18,0,115.74,0,2.42,2.98,0,0,0,0,0,0,0,1.51,1.87,291.99,0,0,0.66,3407.94,2.24,0,0,0,5.99,0,0,0,209.44,0,0,0,0,0
 48-58,0,0,7.02,0,72.07,0,130.68,0.47,2.22,8.14,0,0,0,0,0,0,0.38,6.3,0,103.04,4.74,0.5,0.44,2137.35,0.55,2.27,19.94,0,3.38,0,0.47,0,203.45,0,0,1.76,0,14.61
 60-70,0,0,11.43,0,49.16,0,265.09,1.52,7.03,33.41,0,0,0.7,0,0,0,0,0,0,27.73,2.96,0,0,1900.97,0,0,20.74,0,2.58,3.3,0,0,13.59,0,0,0,1.59,9.38
 72-82,0,0,23.36,0,9.38,1.25,365.24,0,6.47,92.17,0,0,0,0,0,0,0,0,0,30.24,0,1.48,1.16,2957.62,0,1.22,6.22,0,0,1.07,0,0,332.14,0,1.25,9.52,11.66,0
 84-94,0,0,54.35,0,59.5,6.36,346.39,0,17.97,3.76,2.75,0,0,2.21,0,0,0,0,0,39.38,0.57,4.53,0.59,4112.58,0,9.61,9.18,0,5.33,0,0,0,139.42,0.6,0,2.21,12.63,14.41
 96-106,0,0,5.99,0,26.75,1.42,303.45,0,4.04,23.84,3.16,0,0,0.78,0,15.78,0,0,0,20.69,0,0.68,2.03,1409.89,0,15.79,44.77,0,3.18,0.97,0,0,3.57,0,0,0.58,76.7,1.88
108-118,0,0,19.24,0,33.32,1.92,492.83,7.65,6.86,21.55,0,0,0,0,2.31,0,0,5.57,0,50.05,0,1.96,0.6,3846.6,0,0,21.89,0,9.29,0.53,0,0,185.99,0,0,0,9.69,5.89
120,0,0,12.14,0,4.45,0,463.07,0,0,9.51,0,0,0,0,0,0,9.17,0,0,96.45,0,19.65,6.08,5566.56,0,0,30.94,0,1.16,0,0,0,7.27,0,0,0,15.77,0
